protocol,window,horizon,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,direction_accuracy,skill,overlapping_issue_pairs,total_issue_pairs
frozen_transfer,7,14,basket,12,28,28,2026-08-03,2026-08-30,0.2885530417488383,0.32136992511040463,0.15028006804699154,0.32142857142857145,-0.43449126803747373,273,378
frozen_transfer,7,14,basket,24,28,28,2026-08-03,2026-08-30,0.24818533984873742,0.25987681394327383,0.1953314881496316,0.21428571428571427,-1.7628775110387394,273,378
frozen_transfer,7,14,basket,6,28,28,2026-08-03,2026-08-30,0.4491484314498494,0.5593473447260147,-0.3482227052424633,0.6071428571428571,0.2207357511171555,273,378
frozen_transfer,7,14,basket,all,84,28,2026-08-03,2026-08-30,0.32862893768247503,0.40153208225612436,-0.000870383015280053,0.38095238095238093,-0.13665612967668173,273,378
frozen_transfer,7,14,basket_abstain,12,28,28,2026-08-03,2026-08-30,0.2885530417488383,0.32136992511040463,0.15028006804699154,0.32142857142857145,-0.43449126803747373,273,378
frozen_transfer,7,14,basket_abstain,24,28,28,2026-08-03,2026-08-30,0.24818533984873742,0.25987681394327383,0.1953314881496316,0.21428571428571427,-1.7628775110387394,273,378
frozen_transfer,7,14,basket_abstain,6,28,28,2026-08-03,2026-08-30,0.47023513459502425,0.581101865570735,-0.36930940838763815,0.6071428571428571,0.1841507098763403,273,378
frozen_transfer,7,14,basket_abstain,all,84,28,2026-08-03,2026-08-30,0.33565783873086663,0.4117013340438926,-0.007899284063671675,0.38095238095238093,-0.16096757199179712,273,378
frozen_transfer,7,14,gap,12,28,28,2026-08-03,2026-08-30,0.20388571428571467,0.3128599915069268,-0.15132142857142852,0.6428571428571429,-0.01358237309802468,273,378
frozen_transfer,7,14,gap,24,28,28,2026-08-03,2026-08-30,0.10468214285714243,0.1863973396116094,-0.09848214285714242,0.7857142857142857,-0.1653546437658968,273,378
frozen_transfer,7,14,gap,6,28,28,2026-08-03,2026-08-30,0.6478535714285716,0.7670754318932956,-0.646432142857143,0.14285714285714285,-0.12401400377978189,273,378
frozen_transfer,7,14,gap,all,84,28,2026-08-03,2026-08-30,0.3188071428571429,0.4902482570814798,-0.298745238095238,0.5238095238095238,-0.10268467429794925,273,378
frozen_transfer,7,14,retail,12,28,28,2026-08-03,2026-08-30,0.29501601619627804,0.32128630862226,0.18530967762443837,0.32142857142857145,-0.4666208215996619,273,378
frozen_transfer,7,14,retail,24,28,28,2026-08-03,2026-08-30,0.2568672481050714,0.2665594241580388,0.22068198563720082,0.21428571428571427,-1.8595272530780806,273,378
frozen_transfer,7,14,retail,6,28,28,2026-08-03,2026-08-30,0.40508195884640597,0.533392730713621,-0.2916461970743631,0.8214285714285714,0.29719026875487997,273,378
frozen_transfer,7,14,retail,all,84,28,2026-08-03,2026-08-30,0.31898840771591846,0.39106121596399573,0.038115155395758694,0.4523809523809524,-0.10331163008058719,273,378
