company_name,term_months,snapshot_rows,snapshot_dates,snapshot_contract_ids_not_lineages,snapshot_first,snapshot_last,snapshot_age_days_at_2026_09_13,snapshot_nonnull_energy_rows,snapshot_basis_counts,snapshot_segment_counts,snapshot_pricing_model_counts,snapshot_metering_counts,premium_rows_one_reference,premium_lineages,premium_first_observed,premium_last_observed,premium_age_days_at_2026_09_13,stored_component_period_keys_excluding_seams,unique_lineage_price_signatures_not_repricing_count,seam_rows,unresolved_seam_targets,chronology_pair_counts,method_counts,vat_counts,quality_counts,quality_flag_counts,nonnull_known_vat_rows_before_compatibility_filter,usable_general_premium_rows,usable_general_lineages,exclusion_reason_counts_nonexclusive,usable_included_rows,descriptive_included_median_cents_per_kwh,usable_excluded_rows,descriptive_excluded_median_cents_per_kwh,descriptive_status,supplier_forecast_status
Omavoima Oy,24,632,158,21,2026-04-08,2026-09-13,0,632,"{""canonical_calculation"": 192, ""observed_seller_data"": 440}","{""fixed_term_24"": 474, ""hybrid"": 158}","{""FixedPrice"": 474, ""Hybrid"": 158}","{""General"": 316, ""Season"": 158, ""Time"": 158}",26,6,2026-04-14,2026-09-12,1,23,23,3,0,"{""dated_energy_or_fee_change_component_pair"": 10}","{""retail-premium-history-v2"": 6, ""retail-premium-v2"": 20}","{""unknown"": 26}","{""inferred"": 26}","{""calendar_period_unknown"": 20, ""continues_prior_history_period"": 3, ""historical_relational_components"": 6, ""multi_rate_component_not_aggregated"": 20, ""vat_mapping_propagated_to_history"": 6, ""vat_unknown"": 26}",0,0,0,"{""method_seam_not_independent"": 3, ""multi_rate_not_aggregate"": 20, ""null_energy_premium"": 26, ""null_vat_matched_reference"": 26, ""unknown_or_mixed_energy_vat"": 26}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Oomi Oy,6,163,86,19,2026-04-08,2026-07-02,73,163,"{""observed_seller_data"": 163}","{""fixed_term_6"": 77, ""hybrid"": 86}","{""FixedPrice"": 77, ""Hybrid"": 86}","{""General"": 163}",0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Oomi Oy,12,313,158,34,2026-04-08,2026-09-13,0,313,"{""canonical_calculation"": 97, ""observed_seller_data"": 216}","{""fixed_term_12"": 158, ""hybrid"": 155}","{""FixedPrice"": 158, ""Hybrid"": 155}","{""General"": 313}",28,14,2026-07-25,2026-09-12,1,28,27,0,0,"{""dated_energy_or_fee_change_component_pair"": 11}","{""retail-premium-v2"": 28}","{""excluded"": 18, ""unknown"": 10}","{""inferred"": 28}","{""calendar_period_unknown"": 28, ""vat_unknown"": 10}",18,18,8,"{""null_energy_premium"": 10, ""null_vat_matched_reference"": 10, ""unknown_or_mixed_energy_vat"": 10}",0,,18,2.0559,VAT-separated sample description only; representativeness not established,Not validated; no independent holdout comparison performed
Oomi Oy,24,311,157,41,2026-04-08,2026-09-13,0,311,"{""canonical_calculation"": 95, ""observed_seller_data"": 216}","{""fixed_term_24"": 157, ""hybrid"": 154}","{""FixedPrice"": 157, ""Hybrid"": 154}","{""General"": 311}",26,14,2026-07-25,2026-09-12,1,26,26,0,0,"{""dated_energy_or_fee_change_component_pair"": 10, ""overlapping_period_pair_ambiguous"": 1}","{""retail-premium-v2"": 26}","{""excluded"": 12, ""unknown"": 14}","{""inferred"": 26}","{""calendar_period_unknown"": 26, ""vat_unknown"": 14}",12,12,7,"{""null_energy_premium"": 14, ""null_vat_matched_reference"": 14, ""unknown_or_mixed_energy_vat"": 14}",0,,12,1.9141,VAT-separated sample description only; representativeness not established,Not validated; no independent holdout comparison performed
Paneliankosken Voima Oy,6,0,0,0,,,,0,{},{},{},{},0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Paneliankosken Voima Oy,12,580,156,22,2026-04-08,2026-09-13,0,580,"{""canonical_calculation"": 140, ""observed_seller_data"": 440}","{""fixed_term_12"": 312, ""hybrid"": 268}","{""FixedPrice"": 312, ""Hybrid"": 268}","{""General"": 312, ""Season"": 268}",22,6,2026-04-16,2026-09-12,1,20,20,2,0,"{""dated_energy_or_fee_change_component_pair"": 8, ""overlapping_period_pair_ambiguous"": 1}","{""retail-premium-history-v2"": 6, ""retail-premium-v2"": 16}","{""unknown"": 22}","{""inferred"": 22}","{""calendar_period_unknown"": 16, ""continues_prior_history_period"": 2, ""historical_relational_components"": 6, ""multi_rate_component_not_aggregated"": 16, ""vat_mapping_propagated_to_history"": 6, ""vat_unknown"": 22}",0,0,0,"{""method_seam_not_independent"": 2, ""multi_rate_not_aggregate"": 16, ""null_energy_premium"": 22, ""null_vat_matched_reference"": 22, ""unknown_or_mixed_energy_vat"": 22}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Paneliankosken Voima Oy,24,588,157,26,2026-04-08,2026-09-13,0,588,"{""canonical_calculation"": 148, ""observed_seller_data"": 440}","{""fixed_term_24"": 314, ""hybrid"": 274}","{""FixedPrice"": 314, ""Hybrid"": 274}","{""General"": 294, ""Season"": 294}",17,6,2026-07-23,2026-09-12,1,17,17,0,0,"{""dated_energy_or_fee_change_component_pair"": 6, ""overlapping_period_pair_ambiguous"": 2}","{""retail-premium-v2"": 17}","{""unknown"": 17}","{""inferred"": 17}","{""calendar_period_unknown"": 17, ""multi_rate_component_not_aggregated"": 12, ""vat_unknown"": 17}",0,0,0,"{""multi_rate_not_aggregate"": 12, ""null_energy_premium"": 17, ""null_vat_matched_reference"": 17, ""unknown_or_mixed_energy_vat"": 17}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Pohjois-Karjalan Sähkö Oy,6,543,159,18,2026-04-08,2026-09-13,0,543,"{""canonical_calculation"": 156, ""observed_seller_data"": 387}","{""fixed_term_6"": 543}","{""FixedPrice"": 543}","{""General"": 181, ""Season"": 181, ""Time"": 181}",48,12,2026-05-06,2026-09-12,1,46,43,2,0,"{""dated_energy_or_fee_change_component_pair"": 7, ""overlapping_period_pair_ambiguous"": 5, ""same_signature_new_key_not_proven_repricing"": 3, ""signature_change_without_energy_fee_change"": 2}","{""retail-premium-history-v2"": 6, ""retail-premium-v2"": 42}","{""included"": 30, ""unknown"": 18}","{""inferred"": 48}","{""calendar_period_unknown"": 42, ""continues_prior_history_period"": 2, ""historical_relational_components"": 6, ""multi_rate_component_not_aggregated"": 40, ""vat_mapping_propagated_to_history"": 6, ""vat_unknown"": 18}",30,6,3,"{""method_seam_not_independent"": 2, ""multi_rate_not_aggregate"": 40, ""null_energy_premium"": 18, ""null_vat_matched_reference"": 18, ""unknown_or_mixed_energy_vat"": 18}",6,2.15515,0,,VAT-separated sample description only; representativeness not established,Not validated; no independent holdout comparison performed
Pohjois-Karjalan Sähkö Oy,12,492,159,15,2026-04-08,2026-09-13,0,492,"{""canonical_calculation"": 156, ""observed_seller_data"": 336}","{""fixed_term_12"": 492}","{""FixedPrice"": 492}","{""General"": 164, ""Season"": 164, ""Time"": 164}",33,9,2026-05-06,2026-09-12,1,33,30,0,0,"{""dated_energy_or_fee_change_component_pair"": 4, ""overlapping_period_pair_ambiguous"": 2, ""same_signature_new_key_not_proven_repricing"": 3}","{""retail-premium-history-v2"": 4, ""retail-premium-v2"": 29}","{""included"": 19, ""unknown"": 14}","{""inferred"": 33}","{""calendar_period_unknown"": 29, ""historical_relational_components"": 4, ""multi_rate_component_not_aggregated"": 28, ""vat_mapping_propagated_to_history"": 4, ""vat_unknown"": 14}",19,3,2,"{""multi_rate_not_aggregate"": 28, ""null_energy_premium"": 14, ""null_vat_matched_reference"": 14, ""unknown_or_mixed_energy_vat"": 14}",3,3.4969,0,,VAT-separated sample description only; representativeness not established,Not validated; no independent holdout comparison performed
Pohjois-Karjalan Sähkö Oy,24,480,159,12,2026-04-08,2026-09-13,0,480,"{""canonical_calculation"": 147, ""observed_seller_data"": 333}","{""fixed_term_24"": 480}","{""FixedPrice"": 480}","{""General"": 160, ""Season"": 160, ""Time"": 160}",25,6,2026-05-06,2026-09-12,1,25,21,0,0,"{""dated_energy_or_fee_change_component_pair"": 2, ""overlapping_period_pair_ambiguous"": 2, ""same_signature_new_key_not_proven_repricing"": 2, ""signature_change_without_energy_fee_change"": 2}","{""retail-premium-history-v2"": 4, ""retail-premium-v2"": 21}","{""included"": 15, ""unknown"": 10}","{""inferred"": 25}","{""calendar_period_unknown"": 21, ""historical_relational_components"": 4, ""multi_rate_component_not_aggregated"": 22, ""vat_mapping_propagated_to_history"": 4, ""vat_unknown"": 10}",15,1,1,"{""multi_rate_not_aggregate"": 22, ""null_energy_premium"": 10, ""null_vat_matched_reference"": 10, ""unknown_or_mixed_energy_vat"": 10}",1,2.7576,0,,VAT-separated sample description only; representativeness not established,Not validated; no independent holdout comparison performed
