study,cohort,protocol,scope,horizon,quantile,term,model,n,issue_days,first_issue,last_issue,first_target,last_target,mae,rmse,bias,skill,correct,wrong_way,missed_move,false_move,actual_balance,predicted_balance,confusion,precision,recall,raw_saved_class_disagreements,mae_minus
A,basket,rolling_observed,per_term,14,median,12,always_down,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,15,31,0,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 54, ""flat"": 0, ""up"": 0}","{""down"": {""down"": 15, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 8, ""flat"": 0, ""up"": 0}, ""up"": {""down"": 31, ""flat"": 0, ""up"": 0}}","{""down"": 0.2777777777777778, ""flat"": null, ""up"": null}","{""down"": 1.0, ""flat"": 0.0, ""up"": 0.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,12,always_up,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,31,15,0,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 15}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 31}}","{""down"": null, ""flat"": null, ""up"": 0.5740740740740741}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,12,basket,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3110472526646688,0.33659602048425447,0.01074337521716705,0.00680292557226303,14,14,18,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 18, ""up"": 36}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 14}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""up"": {""down"": 0, ""flat"": 17, ""up"": 14}}","{""down"": null, ""flat"": 0.0, ""up"": 0.3888888888888889}","{""down"": 0.0, ""flat"": 0.0, ""up"": 0.45161290322580644}",0,"{""history"": -0.012328368131259704, ""intercept"": -0.007559631835531988, ""unchanged"": -0.002130525113108961}"
A,basket,rolling_observed,per_term,14,median,12,history,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3233756207959285,0.35632769361310707,0.011973670389590673,-0.03256247327160877,6,14,27,7,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 28, ""up"": 26}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 14}, ""flat"": {""down"": 0, ""flat"": 1, ""up"": 7}, ""up"": {""down"": 0, ""flat"": 26, ""up"": 5}}","{""down"": null, ""flat"": 0.03571428571428571, ""up"": 0.19230769230769232}","{""down"": 0.0, ""flat"": 0.125, ""up"": 0.16129032258064516}",0,"{""history"": 0.0, ""intercept"": 0.004768736295727716, ""unchanged"": 0.010197843018150743}"
A,basket,rolling_observed,per_term,14,median,12,intercept,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3186068845002008,0.35259400364511523,0.005746761214219561,-0.017335542645926072,2,15,29,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 15}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""up"": {""down"": 0, ""flat"": 29, ""up"": 2}}","{""down"": null, ""flat"": 0.0, ""up"": 0.08}","{""down"": 0.0, ""flat"": 0.0, ""up"": 0.06451612903225806}",0,"{""history"": -0.004768736295727716, ""intercept"": 0.0, ""unchanged"": 0.005429106722423027}"
A,basket,rolling_observed,per_term,14,median,12,rolling,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.30542070416391137,0.3313687532813018,0.012036866071110196,0.024768914540835074,13,13,20,8,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 20, ""up"": 34}","{""down"": {""down"": 0, ""flat"": 2, ""up"": 13}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""up"": {""down"": 0, ""flat"": 18, ""up"": 13}}","{""down"": null, ""flat"": 0.0, ""up"": 0.38235294117647056}","{""down"": 0.0, ""flat"": 0.0, ""up"": 0.41935483870967744}",0,"{""history"": -0.01795491663201715, ""intercept"": -0.013186180336289433, ""unchanged"": -0.007757073613866405}"
A,basket,rolling_observed,per_term,14,median,12,unchanged,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3131777777777778,0.34139818231632235,-0.13776666666666668,0.0,8,0,46,0,"{""down"": 15, ""flat"": 8, ""up"": 31}","{""down"": 0, ""flat"": 54, ""up"": 0}","{""down"": {""down"": 0, ""flat"": 15, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 8, ""up"": 0}, ""up"": {""down"": 0, ""flat"": 31, ""up"": 0}}","{""down"": null, ""flat"": 0.14814814814814814, ""up"": null}","{""down"": 0.0, ""flat"": 1.0, ""up"": 0.0}",0,"{""history"": -0.010197843018150743, ""intercept"": -0.005429106722423027, ""unchanged"": 0.0}"
A,basket,rolling_observed,per_term,14,median,24,always_down,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,0,25,0,29,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 54, ""flat"": 0, ""up"": 0}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 29, ""flat"": 0, ""up"": 0}, ""up"": {""down"": 25, ""flat"": 0, ""up"": 0}}","{""down"": 0.0, ""flat"": null, ""up"": null}","{""down"": null, ""flat"": 0.0, ""up"": 0.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,24,always_up,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,25,0,0,29,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 29}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 25}}","{""down"": null, ""flat"": null, ""up"": 0.46296296296296297}","{""down"": null, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,24,basket,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.17278825842586246,0.21384733625233907,-0.026888669431353877,0.057166218182899464,29,0,24,1,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 0, ""flat"": 52, ""up"": 2}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 28, ""up"": 1}, ""up"": {""down"": 0, ""flat"": 24, ""up"": 1}}","{""down"": null, ""flat"": 0.5384615384615384, ""up"": 0.5}","{""down"": null, ""flat"": 0.9655172413793104, ""up"": 0.04}",0,"{""history"": -0.007699134869849689, ""intercept"": -0.009219314570102, ""unchanged"": -0.010476556388952368}"
A,basket,rolling_observed,per_term,14,median,24,history,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.18048739329571215,0.2278776172514408,-0.019573573639762306,0.01515523600047941,29,0,23,2,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 0, ""flat"": 50, ""up"": 4}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 27, ""up"": 2}, ""up"": {""down"": 0, ""flat"": 23, ""up"": 2}}","{""down"": null, ""flat"": 0.54, ""up"": 0.5}","{""down"": null, ""flat"": 0.9310344827586207, ""up"": 0.08}",0,"{""history"": 0.0, ""intercept"": -0.001520179700252311, ""unchanged"": -0.0027774215191026796}"
A,basket,rolling_observed,per_term,14,median,24,intercept,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.18200757299596446,0.22803416697653736,-0.029082538088386366,0.006860246578814344,29,0,25,0,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 0, ""flat"": 54, ""up"": 0}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 29, ""up"": 0}, ""up"": {""down"": 0, ""flat"": 25, ""up"": 0}}","{""down"": null, ""flat"": 0.5370370370370371, ""up"": null}","{""down"": null, ""flat"": 1.0, ""up"": 0.0}",0,"{""history"": 0.001520179700252311, ""intercept"": 0.0, ""unchanged"": -0.0012572418188503687}"
A,basket,rolling_observed,per_term,14,median,24,rolling,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.17095320451701873,0.2114273589747606,-0.026151674383194642,0.0671793454201054,29,0,24,1,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 0, ""flat"": 52, ""up"": 2}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 28, ""up"": 1}, ""up"": {""down"": 0, ""flat"": 24, ""up"": 1}}","{""down"": null, ""flat"": 0.5384615384615384, ""up"": 0.5}","{""down"": null, ""flat"": 0.9655172413793104, ""up"": 0.04}",0,"{""history"": -0.009534188778693414, ""intercept"": -0.011054368478945725, ""unchanged"": -0.012311610297796094}"
A,basket,rolling_observed,per_term,14,median,24,unchanged,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.18326481481481482,0.24873077331241625,-0.13499814814814814,0.0,29,0,25,0,"{""down"": 0, ""flat"": 29, ""up"": 25}","{""down"": 0, ""flat"": 54, ""up"": 0}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 29, ""up"": 0}, ""up"": {""down"": 0, ""flat"": 25, ""up"": 0}}","{""down"": null, ""flat"": 0.5370370370370371, ""up"": null}","{""down"": null, ""flat"": 1.0, ""up"": 0.0}",0,"{""history"": 0.0027774215191026796, ""intercept"": 0.0012572418188503687, ""unchanged"": 0.0}"
A,basket,rolling_observed,per_term,14,median,6,always_down,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,8,34,0,12,"{""down"": 8, ""flat"": 12, ""up"": 34}","{""down"": 54, ""flat"": 0, ""up"": 0}","{""down"": {""down"": 8, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 12, ""flat"": 0, ""up"": 0}, ""up"": {""down"": 34, ""flat"": 0, ""up"": 0}}","{""down"": 0.14814814814814814, ""flat"": null, ""up"": null}","{""down"": 1.0, ""flat"": 0.0, ""up"": 0.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,6,always_up,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,34,8,0,12,"{""down"": 8, ""flat"": 12, ""up"": 34}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 12}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 34}}","{""down"": null, ""flat"": null, ""up"": 0.6296296296296297}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,6,basket,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.6821950389306696,0.8618391201886606,-0.08923722068408843,0.13094533272021758,34,8,0,12,"{""down"": 8, ""flat"": 12, ""up"": 34}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 12}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 34}}","{""down"": null, ""flat"": null, ""up"": 0.6296296296296297}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": -0.029672429518365795, ""intercept"": -0.020996333160689606, ""unchanged"": -0.10279014625451566}"
A,basket,rolling_observed,per_term,14,median,6,history,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.7118674684490354,0.8588694727578987,-0.08987904184249419,0.09314534607286984,34,8,0,12,"{""down"": 8, ""flat"": 12, ""up"": 34}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 12}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 34}}","{""down"": null, ""flat"": null, ""up"": 0.6296296296296297}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": 0.0, ""intercept"": 0.008676096357676188, ""unchanged"": -0.07311771673614986}"
A,basket,rolling_observed,per_term,14,median,6,intercept,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.7031913720913592,0.8408569234498694,-0.11986327456917545,0.10419790670894014,34,8,0,12,"{""down"": 8, ""flat"": 12, ""up"": 34}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 12}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 34}}","{""down"": null, ""flat"": null, ""up"": 0.6296296296296297}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": -0.008676096357676188, ""intercept"": 0.0, ""unchanged"": -0.08179381309382605}"
A,basket,rolling_observed,per_term,14,median,6,rolling,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.6633939053089876,0.8358689058797695,-0.0790950837394275,0.15489627342140622,34,8,0,12,"{""down"": 8, ""flat"": 12, ""up"": 34}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 12}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 34}}","{""down"": null, ""flat"": null, ""up"": 0.6296296296296297}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": -0.048473563140047804, ""intercept"": -0.039797466782371616, ""unchanged"": -0.12159127987619767}"
A,basket,rolling_observed,per_term,14,median,6,unchanged,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.7849851851851852,1.038500050286202,-0.706362962962963,0.0,12,0,42,0,"{""down"": 8, ""flat"": 12, ""up"": 34}","{""down"": 0, ""flat"": 54, ""up"": 0}","{""down"": {""down"": 0, ""flat"": 8, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 12, ""up"": 0}, ""up"": {""down"": 0, ""flat"": 34, ""up"": 0}}","{""down"": null, ""flat"": 0.2222222222222222, ""up"": null}","{""down"": 0.0, ""flat"": 1.0, ""up"": 0.0}",0,"{""history"": 0.07311771673614986, ""intercept"": 0.08179381309382605, ""unchanged"": 0.0}"
A,basket,rolling_observed,per_term,14,median,all,always_down,162,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,23,90,0,49,"{""down"": 23, ""flat"": 49, ""up"": 90}","{""down"": 162, ""flat"": 0, ""up"": 0}","{""down"": {""down"": 23, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 49, ""flat"": 0, ""up"": 0}, ""up"": {""down"": 90, ""flat"": 0, ""up"": 0}}","{""down"": 0.1419753086419753, ""flat"": null, ""up"": null}","{""down"": 1.0, ""flat"": 0.0, ""up"": 0.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,all,always_up,162,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,90,23,0,49,"{""down"": 23, ""flat"": 49, ""up"": 90}","{""down"": 0, ""flat"": 0, ""up"": 162}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 23}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 49}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 90}}","{""down"": null, ""flat"": null, ""up"": 0.5555555555555556}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,median,all,basket,162,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3886768500070669,0.5482682534780525,-0.03512750496609175,0.09005363373400266,77,22,42,21,"{""down"": 23, ""flat"": 49, ""up"": 90}","{""down"": 0, ""flat"": 70, ""up"": 92}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 22}, ""flat"": {""down"": 0, ""flat"": 28, ""up"": 21}, ""up"": {""down"": 0, ""flat"": 41, ""up"": 49}}","{""down"": null, ""flat"": 0.4, ""up"": 0.532608695652174}","{""down"": 0.0, ""flat"": 0.5714285714285714, ""up"": 0.5444444444444444}",0,"{""history"": -0.01656664417315845, ""intercept"": -0.012591759855441254, ""unchanged"": -0.03846574258552565}"
A,basket,rolling_observed,per_term,14,median,all,history,162,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.40524349418022537,0.5527369491645675,-0.032492981697555275,0.05126882402302246,69,22,50,21,"{""down"": 23, ""flat"": 49, ""up"": 90}","{""down"": 0, ""flat"": 78, ""up"": 84}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 22}, ""flat"": {""down"": 0, ""flat"": 28, ""up"": 21}, ""up"": {""down"": 0, ""flat"": 49, ""up"": 41}}","{""down"": null, ""flat"": 0.358974358974359, ""up"": 0.4880952380952381}","{""down"": 0.0, ""flat"": 0.5714285714285714, ""up"": 0.45555555555555555}",0,"{""history"": 0.0, ""intercept"": 0.003974884317717198, ""unchanged"": -0.0218990984123672}"
A,basket,rolling_observed,per_term,14,median,all,intercept,162,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.4012686098625082,0.5426363049743829,-0.04773301714778075,0.060574579025330144,65,23,54,20,"{""down"": 23, ""flat"": 49, ""up"": 90}","{""down"": 0, ""flat"": 83, ""up"": 79}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 23}, ""flat"": {""down"": 0, ""flat"": 29, ""up"": 20}, ""up"": {""down"": 0, ""flat"": 54, ""up"": 36}}","{""down"": null, ""flat"": 0.3493975903614458, ""up"": 0.45569620253164556}","{""down"": 0.0, ""flat"": 0.5918367346938775, ""up"": 0.4}",0,"{""history"": -0.003974884317717198, ""intercept"": 0.0, ""unchanged"": -0.0258739827300844}"
A,basket,rolling_observed,per_term,14,median,all,rolling,162,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.3799226046633059,0.5332865416737014,-0.03106996401717065,0.11054853519214591,76,21,44,21,"{""down"": 23, ""flat"": 49, ""up"": 90}","{""down"": 0, ""flat"": 72, ""up"": 90}","{""down"": {""down"": 0, ""flat"": 2, ""up"": 21}, ""flat"": {""down"": 0, ""flat"": 28, ""up"": 21}, ""up"": {""down"": 0, ""flat"": 42, ""up"": 48}}","{""down"": null, ""flat"": 0.3888888888888889, ""up"": 0.5333333333333333}","{""down"": 0.0, ""flat"": 0.5714285714285714, ""up"": 0.5333333333333333}",0,"{""history"": -0.025320889516919465, ""intercept"": -0.021346005199202267, ""unchanged"": -0.047219987929286666}"
A,basket,rolling_observed,per_term,14,median,all,unchanged,162,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.4271425925925926,0.6472768781404976,-0.32637592592592596,0.0,49,0,113,0,"{""down"": 23, ""flat"": 49, ""up"": 90}","{""down"": 0, ""flat"": 162, ""up"": 0}","{""down"": {""down"": 0, ""flat"": 23, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 49, ""up"": 0}, ""up"": {""down"": 0, ""flat"": 90, ""up"": 0}}","{""down"": null, ""flat"": 0.30246913580246915, ""up"": null}","{""down"": 0.0, ""flat"": 1.0, ""up"": 0.0}",0,"{""history"": 0.0218990984123672, ""intercept"": 0.0258739827300844, ""unchanged"": 0.0}"
A,basket,rolling_observed,per_term,14,p20,12,always_down,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,1,15,0,38,"{""down"": 1, ""flat"": 38, ""up"": 15}","{""down"": 54, ""flat"": 0, ""up"": 0}","{""down"": {""down"": 1, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 38, ""flat"": 0, ""up"": 0}, ""up"": {""down"": 15, ""flat"": 0, ""up"": 0}}","{""down"": 0.018518518518518517, ""flat"": null, ""up"": null}","{""down"": 1.0, ""flat"": 0.0, ""up"": 0.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,p20,12,always_up,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,15,1,0,38,"{""down"": 1, ""flat"": 38, ""up"": 15}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 1}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 38}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 15}}","{""down"": null, ""flat"": null, ""up"": 0.2777777777777778}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,p20,12,basket,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.16122948288072786,0.20252912063520048,0.010329652703395654,-0.15745706933784942,34,0,13,7,"{""down"": 1, ""flat"": 38, ""up"": 15}","{""down"": 0, ""flat"": 44, ""up"": 10}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 31, ""up"": 7}, ""up"": {""down"": 0, ""flat"": 12, ""up"": 3}}","{""down"": null, ""flat"": 0.7045454545454546, ""up"": 0.3}","{""down"": 0.0, ""flat"": 0.8157894736842105, ""up"": 0.2}",0,"{""history"": -0.017457022485743934, ""intercept"": -0.011143510000489854, ""unchanged"": 0.021933186584431552}"
A,basket,rolling_observed,per_term,14,p20,12,history,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.1786865053664718,0.22353510712159652,0.01730922423501574,-0.28278001725464974,19,0,16,19,"{""down"": 1, ""flat"": 38, ""up"": 15}","{""down"": 0, ""flat"": 35, ""up"": 19}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 19, ""up"": 19}, ""up"": {""down"": 0, ""flat"": 15, ""up"": 0}}","{""down"": null, ""flat"": 0.5428571428571428, ""up"": 0.0}","{""down"": 0.0, ""flat"": 0.5, ""up"": 0.0}",0,"{""history"": 0.0, ""intercept"": 0.00631351248525408, ""unchanged"": 0.039390209070175486}"
A,basket,rolling_observed,per_term,14,p20,12,intercept,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.1723729928812177,0.21893086109727422,0.018975372717127147,-0.2374556787537565,22,0,16,16,"{""down"": 1, ""flat"": 38, ""up"": 15}","{""down"": 0, ""flat"": 38, ""up"": 16}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 22, ""up"": 16}, ""up"": {""down"": 0, ""flat"": 15, ""up"": 0}}","{""down"": null, ""flat"": 0.5789473684210527, ""up"": 0.0}","{""down"": 0.0, ""flat"": 0.5789473684210527, ""up"": 0.0}",0,"{""history"": -0.00631351248525408, ""intercept"": 0.0, ""unchanged"": 0.033076696584921406}"
A,basket,rolling_observed,per_term,14,p20,12,rolling,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.1570334885059463,0.1989313111292144,0.010776446443823294,-0.12733427005066478,38,0,11,5,"{""down"": 1, ""flat"": 38, ""up"": 15}","{""down"": 0, ""flat"": 44, ""up"": 10}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 33, ""up"": 5}, ""up"": {""down"": 0, ""flat"": 10, ""up"": 5}}","{""down"": null, ""flat"": 0.75, ""up"": 0.5}","{""down"": 0.0, ""flat"": 0.868421052631579, ""up"": 0.3333333333333333}",0,"{""history"": -0.02165301686052548, ""intercept"": -0.015339504375271401, ""unchanged"": 0.017737192209650005}"
A,basket,rolling_observed,per_term,14,p20,12,unchanged,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.1392962962962963,0.22661649771593645,-0.11203703703703703,0.0,38,0,16,0,"{""down"": 1, ""flat"": 38, ""up"": 15}","{""down"": 0, ""flat"": 54, ""up"": 0}","{""down"": {""down"": 0, ""flat"": 1, ""up"": 0}, ""flat"": {""down"": 0, ""flat"": 38, ""up"": 0}, ""up"": {""down"": 0, ""flat"": 15, ""up"": 0}}","{""down"": null, ""flat"": 0.7037037037037037, ""up"": null}","{""down"": 0.0, ""flat"": 1.0, ""up"": 0.0}",0,"{""history"": -0.039390209070175486, ""intercept"": -0.033076696584921406, ""unchanged"": 0.0}"
A,basket,rolling_observed,per_term,14,p20,24,always_down,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,8,29,0,17,"{""down"": 8, ""flat"": 17, ""up"": 29}","{""down"": 54, ""flat"": 0, ""up"": 0}","{""down"": {""down"": 8, ""flat"": 0, ""up"": 0}, ""flat"": {""down"": 17, ""flat"": 0, ""up"": 0}, ""up"": {""down"": 29, ""flat"": 0, ""up"": 0}}","{""down"": 0.14814814814814814, ""flat"": null, ""up"": null}","{""down"": 1.0, ""flat"": 0.0, ""up"": 0.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,p20,24,always_up,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,,,,,29,8,0,17,"{""down"": 8, ""flat"": 17, ""up"": 29}","{""down"": 0, ""flat"": 0, ""up"": 54}","{""down"": {""down"": 0, ""flat"": 0, ""up"": 8}, ""flat"": {""down"": 0, ""flat"": 0, ""up"": 17}, ""up"": {""down"": 0, ""flat"": 0, ""up"": 29}}","{""down"": null, ""flat"": null, ""up"": 0.5370370370370371}","{""down"": 0.0, ""flat"": 0.0, ""up"": 1.0}",0,"{""history"": null, ""intercept"": null, ""unchanged"": null}"
A,basket,rolling_observed,per_term,14,p20,24,basket,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.1605313368457291,0.20400617996181442,0.010693052769679492,0.14246080744802836,19,2,26,7,"{""down"": 8, ""flat"": 17, ""up"": 29}","{""down"": 0, ""flat"": 36, ""up"": 18}","{""down"": {""down"": 0, ""flat"": 6, ""up"": 2}, ""flat"": {""down"": 0, ""flat"": 10, ""up"": 7}, ""up"": {""down"": 0, ""flat"": 20, ""up"": 9}}","{""down"": null, ""flat"": 0.2777777777777778, ""up"": 0.5}","{""down"": 0.0, ""flat"": 0.5882352941176471, ""up"": 0.3103448275862069}",0,"{""history"": -0.010745456708708745, ""intercept"": -0.008837537418490582, ""unchanged"": -0.02666866315427091}"
A,basket,rolling_observed,per_term,14,p20,24,history,54,54,2026-05-20,2026-07-12,2026-06-03,2026-07-26,0.17127679355443784,0.21771651657414634,0.00928145470468022,0.08505986349125083,16,3,28,7,"{""down"": 8, ""flat"": 17, ""up"": 29}","{""down"": 0, ""flat"": 38, ""up"": 16}","{""down"": {""down"": 0, ""flat"": 5, ""up"": 3}, ""flat"": {""down"": 0, ""flat"": 10, ""up"": 7}, ""up"": {""down"": 0, ""flat"": 23, ""up"": 6}}","{""down"": null, ""flat"": 0.2631578947368421, ""up"": 0.375}","{""down"": 0.0, ""flat"": 0.5882352941176471, ""up"": 0.20689655172413793}",0,"{""history"": 0.0, ""intercept"": 0.001907919290218163, ""unchanged"": -0.015923206445562166}"
