id,horizon,cohort,protocol,cutoff,scope,term,training_basis,training_rows,training_days,test_rows,available
30|native|rolling_observed|2026-04-25|per_term|24,30,native,rolling_observed,2026-04-25,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-26|pooled|all,30,native,rolling_observed,2026-04-26,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-26|per_term|6,30,native,rolling_observed,2026-04-26,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-26|per_term|12,30,native,rolling_observed,2026-04-26,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-26|per_term|24,30,native,rolling_observed,2026-04-26,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-27|pooled|all,30,native,rolling_observed,2026-04-27,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-27|per_term|6,30,native,rolling_observed,2026-04-27,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-27|per_term|12,30,native,rolling_observed,2026-04-27,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-27|per_term|24,30,native,rolling_observed,2026-04-27,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-28|pooled|all,30,native,rolling_observed,2026-04-28,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-28|per_term|6,30,native,rolling_observed,2026-04-28,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-28|per_term|12,30,native,rolling_observed,2026-04-28,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-28|per_term|24,30,native,rolling_observed,2026-04-28,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-29|pooled|all,30,native,rolling_observed,2026-04-29,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-29|per_term|6,30,native,rolling_observed,2026-04-29,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-29|per_term|12,30,native,rolling_observed,2026-04-29,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-29|per_term|24,30,native,rolling_observed,2026-04-29,per_term,24,observed_seller_data,0,0,1,False
