protocol,window,horizon,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,direction_accuracy,skill,overlapping_issue_pairs,total_issue_pairs,mae_minus_intercept,relative_mae_minus_intercept,mean_absolute_adjustment,minimum_adjustment,maximum_adjustment
frozen_transfer,7,14,basket,12,12,12,2026-08-03,2026-08-14,0.21950021937798736,0.2521789957696618,0.21163696608994742,0.3333333333333333,-0.542878767886509,66,66,-0.04822448650436573,-0.18012714346040637,0.06133844758232598,-0.12091914895725264,0.07868376646776154
frozen_transfer,7,14,basket,24,12,12,2026-08-03,2026-08-14,0.26074306501520944,0.2645104972098891,0.26074306501520944,0.08333333333333333,-7.429193912129616,66,66,-0.01567732714165393,-0.05671552311798089,0.029807172527485718,-0.058128805684196955,0.05178536018318003
frozen_transfer,7,14,basket,6,12,12,2026-08-03,2026-08-14,0.6788225030614191,0.7622543414215361,-0.6788225030614191,0.75,0.24525660047466114,66,66,0.08260122855161522,0.1385412297129578,0.12050682879079921,-0.22657583341250426,0.10425225319439546
frozen_transfer,7,14,basket,all,36,12,2026-08-03,2026-08-14,0.386355262484872,0.4880545495664727,-0.06881415731875411,0.3888888888888889,-0.08060486892974228,66,66,0.0062331383018652264,0.01639772563952202,0.07055081630020364,-0.22657583341250426,0.10425225319439546
frozen_transfer,7,14,basket_abstain,12,12,12,2026-08-03,2026-08-14,0.21950021937798736,0.2521789957696618,0.21163696608994742,0.3333333333333333,-0.542878767886509,66,66,-0.04822448650436573,-0.18012714346040637,0.06133844758232598,-0.12091914895725264,0.07868376646776154
frozen_transfer,7,14,basket_abstain,24,12,12,2026-08-03,2026-08-14,0.26074306501520944,0.2645104972098891,0.26074306501520944,0.08333333333333333,-7.429193912129616,66,66,-0.01567732714165393,-0.05671552311798089,0.029807172527485718,-0.058128805684196955,0.05178536018318003
frozen_transfer,7,14,basket_abstain,6,12,12,2026-08-03,2026-08-14,0.6983160469599402,0.7764687427547619,-0.6983160469599402,0.75,0.22358285877574302,66,66,0.10209477245013632,0.17123637953723758,0.14000037268932025,-0.30318705882352937,0.10425225319439546
frozen_transfer,7,14,basket_abstain,all,36,12,2026-08-03,2026-08-14,0.39285311045104565,0.49546737447813805,-0.07531200528492779,0.3888888888888889,-0.09877883168270829,66,66,0.012730986268038869,0.03349183185641058,0.07704866426637731,-0.30318705882352937,0.10425225319439546
frozen_transfer,7,14,gap,12,12,12,2026-08-03,2026-08-14,0.1390416666666671,0.21171057090597395,-0.11565833333333349,0.6666666666666666,0.022668697282096417,66,66,-0.128683039215686,-0.480654330318822,0.3694453921568631,-0.4529870588235302,-0.3132870588235289
frozen_transfer,7,14,gap,24,12,12,2026-08-03,2026-08-14,0.0447666666666661,0.06328863773748505,-0.04218333333333257,0.9166666666666666,-0.44719827586205074,66,66,-0.23165372549019728,-0.8380486102441318,0.31860372549019594,-0.363987058823528,-0.2881870588235306
frozen_transfer,7,14,gap,6,12,12,2026-08-03,2026-08-14,0.963166666666667,1.0219061984024436,-0.963166666666667,0.08333333333333333,-0.0708891956749349,66,66,0.36694539215686306,0.6154516919218542,0.366945392156863,-0.5527870588235303,-0.06918705882352938
frozen_transfer,7,14,gap,all,36,12,2026-08-03,2026-08-14,0.382325,0.6036331932096218,-0.37366944444444433,0.5555555555555556,-0.06933254605206951,66,66,0.002202875816993244,0.005795179172293219,0.3516648366013074,-0.5527870588235303,-0.06918705882352938
frozen_transfer,7,14,intercept,12,12,12,2026-08-03,2026-08-14,0.2677247058823531,0.3088525504070904,0.25378705882352964,0.3333333333333333,-0.8818512597166335,66,66,0.0,0.0,0.0,0.0,0.0
frozen_transfer,7,14,intercept,24,12,12,2026-08-03,2026-08-14,0.27642039215686337,0.28100730789259376,0.27642039215686337,0.08333333333333333,-7.936004056795152,66,66,0.0,0.0,0.0,0.0,0.0
frozen_transfer,7,14,intercept,6,12,12,2026-08-03,2026-08-14,0.5962212745098039,0.7301825061416615,-0.5962212745098039,1,0.3370961192897509,66,66,0.0,0.0,0.0,0.0,0.0
frozen_transfer,7,14,intercept,all,36,12,2026-08-03,2026-08-14,0.3801221241830068,0.4856341205946869,-0.022004607843136976,0.4722222222222222,-0.06317127800519318,66,66,0.0,0.0,0.0,0.0,0.0
frozen_transfer,7,14,retail,12,12,12,2026-08-03,2026-08-14,0.2619679458415787,0.2987222794871279,0.23846108941719193,0.3333333333333333,-0.8413866858592689,66,66,-0.005756760040774411,-0.021502535680454238,0.016502227821519975,-0.024318289961171358,0.007057550491093689
frozen_transfer,7,14,retail,24,12,12,2026-08-03,2026-08-14,0.2768013604107257,0.2816006626878267,0.2768013604107257,0.08333333333333333,-7.948319840863979,66,66,0.0003809682538623571,0.0013782205100345557,0.0030748695386727163,-0.007571244945434263,0.0074261961360941875
frozen_transfer,7,14,retail,6,12,12,2026-08-03,2026-08-14,0.633025241376052,0.7556206005952262,-0.633025241376052,1,0.29617592153057803,66,66,0.036803966866248095,0.06172870449231671,0.03680396686624801,-0.05703997959359708,-0.01430049084623708
frozen_transfer,7,14,retail,all,36,12,2026-08-03,2026-08-14,0.39059818254278544,0.49648646357247217,-0.0392542638493781,0.4722222222222222,-0.09247197808615115,66,66,0.010476058359778662,0.027559717504722414,0.018793688075480236,-0.05703997959359708,0.0074261961360941875
frozen_transfer,7,14,rolling,12,12,12,2026-08-03,2026-08-14,0.2124430288508513,0.24220276012892591,0.18829911020757956,0.3333333333333333,-0.4932733986704636,66,66,-0.055281677031501775,-0.20648702124560125,0.07009378294692592,-0.12646570374336982,0.027635005985855166
frozen_transfer,7,14,rolling,24,12,12,2026-08-03,2026-08-14,0.2532789337053236,0.25704814994313685,0.2532789337053236,0.08333333333333333,-7.187896563749687,66,66,-0.023141458451539754,-0.08371834751760066,0.03272499645891057,-0.06593902042673921,0.042771489047817246
frozen_transfer,7,14,rolling,6,12,12,2026-08-03,2026-08-14,0.5753927934058303,0.6210022990574283,-0.5753927934058303,0.75,0.36025410030020066,66,66,-0.020828481103973617,-0.034934146087118756,0.20622970062471505,-0.2296196715610691,0.34313858841163414
frozen_transfer,7,14,rolling,all,36,12,2026-08-03,2026-08-14,0.34703825198733507,0.4124640525095777,-0.04460491649764238,0.3888888888888889,0.029361675079901617,66,66,-0.033083872195671715,-0.08703485035704928,0.10301616001018385,-0.2296196715610691,0.34313858841163414
frozen_transfer,7,14,unchanged,12,12,12,2026-08-03,2026-08-14,0.14226666666666668,0.18281790576053156,-0.04939999999999974,0.6666666666666666,0.0,66,66,-0.1254580392156864,-0.4686083744203149,0.30318705882352937,-0.30318705882352937,-0.30318705882352937
frozen_transfer,7,14,unchanged,24,12,12,2026-08-03,2026-08-14,0.03093333333333333,0.05721300842757078,-0.026766666666666012,0.9166666666666666,0.0,66,66,-0.24548705882353003,-0.8880931573392051,0.30318705882352937,-0.30318705882352937,-0.30318705882352937
frozen_transfer,7,14,unchanged,6,12,12,2026-08-03,2026-08-14,0.8994083333333333,0.9932884949332026,-0.8994083333333333,0,0.0,66,66,0.30318705882352937,0.5085143247744741,0.30318705882352937,-0.30318705882352937,-0.30318705882352937
frozen_transfer,7,14,unchanged,all,36,12,2026-08-03,2026-08-14,0.3575361111111111,0.5840427350707215,-0.3251916666666663,0.5277777777777778,0.0,66,66,-0.022586013071895672,-0.05941778085250782,0.30318705882352937,-0.30318705882352937,-0.30318705882352937
frozen_transfer,7,30,basket,12,12,12,2026-08-03,2026-08-14,0.31918417899481405,0.3762391830735775,0.31070671916638054,0.75,-0.09456466948754683,66,66,2.9710395780369048e-05,9.309095971854475e-05,0.051456851838514485,-0.08070994657676422,0.12773081813460074
frozen_transfer,7,30,basket,24,12,12,2026-08-03,2026-08-14,0.4014482111769568,0.4443404480515196,0.4014482111769568,0.5,-1.0049854472566206,66,66,-0.0032209917215939576,-0.00795956721816915,0.027887601268722962,-0.04429863475349227,0.06942247724810924
frozen_transfer,7,30,basket,6,12,12,2026-08-03,2026-08-14,0.7366505004898678,0.7590746395148721,-0.7366505004898678,1,0.4478054779724263,66,66,0.007503036721751788,0.010290149927940861,0.08295146322723909,-0.12828385118646846,0.19360296085302564
frozen_transfer,7,30,basket,all,36,12,2026-08-03,2026-08-14,0.48576096355387954,0.5523249843492299,-0.008165190048843477,0.75,0.2018714913881624,66,66,0.0014372517986460664,0.002967543739366585,0.05409863877815885,-0.12828385118646846,0.19360296085302564
frozen_transfer,7,30,basket_abstain,12,12,12,2026-08-03,2026-08-14,0.31918417899481405,0.3762391830735775,0.31070671916638054,0.75,-0.09456466948754683,66,66,2.9710395780369048e-05,9.309095971854475e-05,0.051456851838514485,-0.08070994657676422,0.12773081813460074
frozen_transfer,7,30,basket_abstain,24,12,12,2026-08-03,2026-08-14,0.4014482111769568,0.4443404480515196,0.4014482111769568,0.5,-1.0049854472566206,66,66,-0.0032209917215939576,-0.00795956721816915,0.027887601268722962,-0.04429863475349227,0.06942247724810924
frozen_transfer,7,30,basket_abstain,6,12,12,2026-08-03,2026-08-14,0.7366505004898678,0.7590746395148721,-0.7366505004898678,1,0.4478054779724263,66,66,0.007503036721751788,0.010290149927940861,0.08295146322723909,-0.12828385118646846,0.19360296085302564
frozen_transfer,7,30,basket_abstain,all,36,12,2026-08-03,2026-08-14,0.48576096355387954,0.5523249843492299,-0.008165190048843477,0.75,0.2018714913881624,66,66,0.0014372517986460664,0.002967543739366585,0.05409863877815885,-0.12828385118646846,0.19360296085302564
frozen_transfer,7,30,gap,12,12,12,2026-08-03,2026-08-14,0.3573333333333335,0.40156612780462436,-0.3573333333333335,0.25,-0.2253879347298049,66,66,0.03817886473429982,0.11962503580755257,0.6711525362318844,-0.7546942028985515,-0.6149942028985502
frozen_transfer,7,30,gap,24,12,12,2026-08-03,2026-08-14,0.2156416666666665,0.27822910972793624,-0.2156416666666665,0.5,-0.07699671203229652,66,66,-0.18902753623188423,-0.46711618990999126,0.6203108695652172,-0.6656942028985493,-0.5898942028985519
frozen_transfer,7,30,gap,6,12,12,2026-08-03,2026-08-14,1.3978000000000004,1.405900181971205,-1.3978000000000004,0.08333333333333333,-0.04779335977761856,66,66,0.6686525362318844,0.9170333429899027,0.6686525362318844,-0.8544942028985516,-0.3708942028985507
frozen_transfer,7,30,gap,all,36,12,2026-08-03,2026-08-14,0.6569250000000001,0.859306331519144,-0.6569250000000001,0.2777777777777778,-0.0793592113370305,66,66,0.17260128824476662,0.3563758784785567,0.6533719806763286,-0.8544942028985516,-0.3708942028985507
frozen_transfer,7,30,intercept,12,12,12,2026-08-03,2026-08-14,0.3191544685990337,0.382253422460652,0.3138192028985509,0.75,-0.09446278489652449,66,66,0.0,0.0,0.0,0.0,0.0
frozen_transfer,7,30,intercept,24,12,12,2026-08-03,2026-08-14,0.40466920289855074,0.4444859041441942,0.40466920289855074,0.5,-1.0210723081460897,66,66,0.0,0.0,0.0,0.0,0.0
frozen_transfer,7,30,intercept,6,12,12,2026-08-03,2026-08-14,0.729147463768116,0.7657247088107872,-0.729147463768116,1,0.4534297676098702,66,66,0.0,0.0,0.0,0.0,0.0
frozen_transfer,7,30,intercept,all,36,12,2026-08-03,2026-08-14,0.4843237117552335,0.5567823415689859,-0.0035530193236714444,0.75,0.2042329648712531,66,66,0.0,0.0,0.0,0.0,0.0
frozen_transfer,7,30,retail,12,12,12,2026-08-03,2026-08-14,0.3298974542301258,0.39346762275419345,0.3239758646059609,0.75,-0.1313032465811772,66,66,0.010742985631092106,0.033660771469845585,0.011017187109672736,-0.005163152413576677,0.016311220063184417
frozen_transfer,7,30,retail,24,12,12,2026-08-03,2026-08-14,0.4040756623827705,0.4448954376679999,0.4040756623827705,0.5,-1.018107940480812,66,66,-0.0005935405157802554,-0.0014667301379222009,0.0020490478174997884,-0.005415462272964189,0.004849143593865124
frozen_transfer,7,30,retail,6,12,12,2026-08-03,2026-08-14,0.70429074906258,0.7443582067845531,-0.70429074906258,1,0.4720624050503819,66,66,-0.024856714705535965,-0.03409010651573896,0.024856714705535955,0.009454799757288357,0.03870672377263018
frozen_transfer,7,30,retail,all,36,12,2026-08-03,2026-08-14,0.4794212885584921,0.5497932522385582,0.007920259308717105,0.75,0.21228788078292515,66,66,-0.00490242319674139,-0.010122203554673304,0.012640983210902826,-0.005415462272964189,0.03870672377263018
frozen_transfer,7,30,rolling,12,12,12,2026-08-03,2026-08-14,0.2973591582807657,0.3506033412197959,0.285710654198035,0.75,-0.01972105831714699,66,66,-0.02179531031826798,-0.06829078851360304,0.05104351085614255,-0.09162637858524136,0.08417507529370938
frozen_transfer,7,30,rolling,24,12,12,2026-08-03,2026-08-14,0.3971469889597306,0.4420475932457482,0.3971469889597306,0.5,-0.9835035033573765,66,66,-0.0075222139388201326,-0.018588550561644657,0.0315086998620429,-0.05330668872314981,0.07123948942555558
frozen_transfer,7,30,rolling,6,12,12,2026-08-03,2026-08-14,0.6144937906570183,0.6365807920293465,-0.6144937906570183,1,0.5393743643761615,66,66,-0.11465367311109775,-0.15724346419390411,0.21365751486216805,-0.14736665822591932,0.49831304303408785
frozen_transfer,7,30,rolling,all,36,12,2026-08-03,2026-08-14,0.43633331263250485,0.49110890928915596,0.02278795083358244,0.75,0.28308348715135767,66,66,-0.04799039912272862,-0.09908744494215871,0.09873657519345116,-0.14736665822591932,0.49831304303408785
frozen_transfer,7,30,unchanged,12,12,12,2026-08-03,2026-08-14,0.291608333333333,0.36381292239281404,-0.29107499999999975,0.25,0.0,66,66,-0.027546135265700655,-0.08630972765826428,0.6048942028985507,-0.6048942028985507,-0.6048942028985507
frozen_transfer,7,30,unchanged,24,12,12,2026-08-03,2026-08-14,0.20022499999999996,0.27184665867605096,-0.20022499999999996,0.5,0.0,66,66,-0.20444420289855078,-0.5052131504798607,0.6048942028985507,-0.6048942028985507,-0.6048942028985507
frozen_transfer,7,30,unchanged,6,12,12,2026-08-03,2026-08-14,1.3340416666666666,1.3543801069739125,-1.3340416666666666,0,0.0,66,66,0.6048942028985506,0.8295910401615543,0.6048942028985507,-0.6048942028985507,-0.6048942028985507
frozen_transfer,7,30,unchanged,all,36,12,2026-08-03,2026-08-14,0.6086249999999999,0.8247435808581153,-0.6084472222222221,0.25,0.0,66,66,0.12430128824476638,0.25664918984512886,0.6048942028985507,-0.6048942028985507,-0.6048942028985507
