supplier,term,basis,date,median,offers,discount_offers,ids
Lammaisten Energia Oy,6,observed_seller_data,2026-04-08,10.4200,1,0,1lchnx-lammaisten-energia-oy-iisi-helpposahko-yleissahko-6-kk
Keravan Energia Oy,24,observed_seller_data,2026-04-08,8.2000,2,0,1tma4r-keravan-energia-oy-perussahko-yleissahko;fdrvso-keravan-energia-oy-perussahko-luonnonvoima-24-kk
Vattenfall Oy,12,observed_seller_data,2026-04-08,9.8300,2,0,2alb2h-vattenfall-oy-taysvesi-12-kk;n8lywh-vattenfall-oy-taystuuli-12-kk
Lumme Energia,6,observed_seller_data,2026-04-08,8.3800,1,0,2j1rhx-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu
Köyliön-Säkylän Sähkö Oy,24,observed_seller_data,2026-04-08,7.8500,1,0,2wdwn8-koylion-sakylan-sahko-oy-lallin-maaris-2v
Porvoon Energia Oy,12,observed_seller_data,2026-04-08,9.9000,3,0,2xtbfi-porvoon-energia-oy-ilmastoviisas-12-kk-co2-paastottomasti-tuotettu;hpjkgr-porvoon-energia-oy-wind-12-kk-kotimainen-tuulisahko;xqafn5-porvoon-energia-oy-eko-12-kk-luonnonsuojeluliiton-sertifioima-ekoenergia
Sähkötytöt Oy,24,observed_seller_data,2026-04-08,8.2800,1,1,3iwie0-sahkotytot-oy-kiintea-24kk
Koillis-Satakunnan Sähkö Oy,12,observed_seller_data,2026-04-08,8.5350,2,2,3o6flt-koillis-satakunnan-sahko-oy-vakaawirta-12-kk;ukxanu-koillis-satakunnan-sahko-oy-ikiwirta-12-kk
Lammaisten Energia Oy,24,observed_seller_data,2026-04-08,9.6100,1,0,3wrqym-lammaisten-energia-oy-iisi-helpposahko-yleissahko-24-kk
Aalto energia Oyj,12,observed_seller_data,2026-04-08,8.9000,1,1,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua
Omavoima Oy,12,observed_seller_data,2026-04-08,9.2700,1,0,4mpypn-omavoima-oy-oma-12kk-yleis
Väre Oy,24,observed_seller_data,2026-04-08,9.0700,1,0,4tdbdn-vare-oy-maaraaikainen-sahko-24-kk
Porvoon Energia Oy,24,observed_seller_data,2026-04-08,9.0000,3,0,55tjpy-porvoon-energia-oy-wind-24-kk-kotimainen-tuulisahko;6dsic7-porvoon-energia-oy-eko-24-kk-luonnonsuojeluliiton-sertifioima-ekoenergia;enf0bt-porvoon-energia-oy-ilmastoviisas-24-kk-co2-paastottomasti-tuotettu
Vaasan Sähkö Myynti Oy,12,observed_seller_data,2026-04-08,9.6600,1,1,5kvkez-vaasan-sahko-myynti-oy-kiintea-12-kk-yleissahko
Keravan Energia Oy,12,observed_seller_data,2026-04-08,8.9000,3,0,5pbkuh-keravan-energia-oy-perussahko-yleis-12-kk;fpmbqk-keravan-energia-oy-perussahko-luonnonvoima-12-kk;hxy4ru-keravan-energia-oy-perussahko-co2-vapaa-12-kk
Turku Energia Oy,6,observed_seller_data,2026-04-08,7.9500,1,0,7nxvts-turku-energia-oy-louna-lahi-6kk
Lammaisten Energia Oy,12,observed_seller_data,2026-04-08,10.4200,1,0,8g5fqu-lammaisten-energia-oy-iisi-helpposahko-yleissahko-12-kk
Köyliön-Säkylän Sähkö Oy,12,observed_seller_data,2026-04-08,8.1000,1,0,9h2xa2-koylion-sakylan-sahko-oy-lallin-maaris-1v
Nurmijärven Sähkö Oy,12,observed_seller_data,2026-04-08,9.4500,1,0,9rz5gq-nurmijarven-sahko-oy-yleissahko-1-vuotta
Sähkötytöt Oy,12,observed_seller_data,2026-04-08,8.9000,1,1,bafxlm-sahkotytot-oy-kiintea-12kk-ensimmaiset-3kk-ilman-perusmaksua
Vattenfall Oy,6,observed_seller_data,2026-04-08,7.5400,1,0,bdjjig-vattenfall-oy-ilmasto-mix-6-kk
Hehku Energia Oy,6,observed_seller_data,2026-04-08,7.5500,1,0,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk
Keravan Energia Oy,6,observed_seller_data,2026-04-08,8.6000,1,0,bl0tn4-keravan-energia-oy-perussahko-yleis-6-kk
Alajärven Sähkö Oy,12,observed_seller_data,2026-04-08,8.9900,1,0,bp5plr-alajarven-sahko-oy-yleissahko-12-kk
Koillis-Satakunnan Sähkö Oy,24,observed_seller_data,2026-04-08,7.9100,1,1,brglnc-koillis-satakunnan-sahko-oy-vakaawirta-24-kk
Korpelan Energia Oy,12,observed_seller_data,2026-04-08,8.9500,1,0,bt2b0t-korpelan-energia-oy-korpela-kesto-kiintea-12-kk
Pohjois-Karjalan Sähkö Oy,6,observed_seller_data,2026-04-08,7.7400,1,0,ckrbsl-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta
Porvoon Energia Oy,6,observed_seller_data,2026-04-08,7.2000,1,0,crno5p-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu
Vattenfall Oy,24,observed_seller_data,2026-04-08,9.8300,3,1,e6dnpo-vattenfall-oy-taystuuli-24-kk;gddesq-vattenfall-oy-ilmasto-mix-24-kk-ensimmaiset-3-kk-perusmaksu-0;gr7yb0-vattenfall-oy-taysvesi-24-kk
Cheap Energy Finland Oy,6,observed_seller_data,2026-04-08,7.4500,1,1,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi
Kokkolan Energia Oy,24,observed_seller_data,2026-04-08,8.6500,1,0,evy7rb-kokkolan-energia-oy-ranta-24-kk
Hehku Energia Oy,24,observed_seller_data,2026-04-08,8.2400,2,2,f73apx-hehku-energia-oy-hehku-kiintea-24-kk-0-kuukausimaksu-ensimmaiset-3-kk;mm1cnn-hehku-energia-oy-hehku-hiilivapaa-24-kk-0-kuukausimaksu-ensimmaiset-6-kk
Äänekosken Energia Oy,6,observed_seller_data,2026-04-08,7.8000,1,0,fblgqd-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-6-kk-paastoton
Imatran Seudun Sähkö Oy,12,observed_seller_data,2026-04-08,9.8700,1,0,fxn0an-imatran-seudun-sahko-oy-voima-12-kk
Nurmijärven Sähkö Oy,24,observed_seller_data,2026-04-08,8.4500,1,0,h7b6xu-nurmijarven-sahko-oy-yleissahko-2-vuotta
Vaasan Sähkö Myynti Oy,6,observed_seller_data,2026-04-08,7.9300,1,1,i8qbil-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko
Kokkolan Energia Oy,6,observed_seller_data,2026-04-08,7.2500,1,0,jnlupi-kokkolan-energia-oy-ranta-6-kk
Lumme Energia,24,observed_seller_data,2026-04-08,8.7900,1,0,jslu5b-lumme-energia-vuosisahko-24-kk-hinta-joka-ei-heilu
Pohjois-Karjalan Sähkö Oy,12,observed_seller_data,2026-04-08,8.5100,1,0,kizv5l-pohjois-karjalan-sahko-oy-optimi-takuu-12-kuukautta
Paneliankosken Voima Oy,12,observed_seller_data,2026-04-08,8.2500,1,0,kxaja0-paneliankosken-voima-oy-kosken-vuosiwoima-12-kk
Sähkötytöt Oy,6,observed_seller_data,2026-04-08,7.6900,1,1,lakfhn-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua
Oomi Oy,24,observed_seller_data,2026-04-08,8.7900,1,0,lbjb7g-oomi-oy-oomi-kiintea-24-kk
Helen Oy,12,observed_seller_data,2026-04-08,9.2700,1,0,luadkb-helen-oy-maaraaikainen-perussahko-12-kk
Äänekosken Energia Oy,12,observed_seller_data,2026-04-08,9.0000,1,0,m5hm5p-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-12-kk-paastoton
Aalto energia Oyj,24,observed_seller_data,2026-04-08,8.2900,1,1,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua
Hehku Energia Oy,12,observed_seller_data,2026-04-08,9.1400,2,2,muhunn-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk;s2orfb-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk
Omavoima Oy,24,observed_seller_data,2026-04-08,8.4800,1,0,mw0gwr-omavoima-oy-oma-24kk-yleis
Turku Energia Oy,12,observed_seller_data,2026-04-08,8.2900,1,0,nenef4-turku-energia-oy-louna-lahi-12kk
Paneliankosken Voima Oy,24,observed_seller_data,2026-04-08,7.8500,1,0,ovufpo-paneliankosken-voima-oy-kosken-vuosiwoima-24-kk
Pohjois-Karjalan Sähkö Oy,24,observed_seller_data,2026-04-08,7.9900,1,0,oyfer4-pohjois-karjalan-sahko-oy-optimi-takuu-24-kuukautta
Lumme Energia,12,observed_seller_data,2026-04-08,9.5900,1,0,peerrr-lumme-energia-vuosisahko-12-kk-hinta-joka-ei-heilu
Vihreä Älyenergia Oy,24,observed_seller_data,2026-04-08,9.6400,2,0,pgzbji-vihrea-alyenergia-oy-vire-tuuli-kiintea-24kk;srpcid-vihrea-alyenergia-oy-vankka-kiintea-24kk-fossiilivapaa
Cheap Energy Finland Oy,24,observed_seller_data,2026-04-08,7.9000,1,1,rqdlzd-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk
Vihreä Älyenergia Oy,12,observed_seller_data,2026-04-08,10.1400,2,0,rwgzqx-vihrea-alyenergia-oy-vire-tuuli-kiintea-12kk;uhsdin-vihrea-alyenergia-oy-vankka-kiintea-12kk-fossiilivapaa
Helen Oy,24,observed_seller_data,2026-04-08,8.3700,1,0,rziblc-helen-oy-maaraaikainen-perussahko-24-kk
Kokkolan Energia Oy,12,observed_seller_data,2026-04-08,9.0500,1,0,s43zr9-kokkolan-energia-oy-ranta-12-kk
Alajärven Sähkö Oy,24,observed_seller_data,2026-04-08,8.4000,1,0,tevygl-alajarven-sahko-oy-yleissahko-24-kk
Väre Oy,12,observed_seller_data,2026-04-08,9.9200,1,0,tldodf-vare-oy-maaraaikainen-sahko-12-kk
Imatran Seudun Sähkö Oy,24,observed_seller_data,2026-04-08,8.6800,1,0,vlwyja-imatran-seudun-sahko-oy-voima-24-kk
Vaasan Sähkö Myynti Oy,24,observed_seller_data,2026-04-08,8.7900,1,1,vsuzak-vaasan-sahko-myynti-oy-kiintea-24-kk-yleissahko
Äänekosken Energia Oy,24,observed_seller_data,2026-04-08,8.5000,1,0,wsga8a-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-24-kk-paastoton
Väre Oy,6,observed_seller_data,2026-04-08,7.8100,1,0,x5jrjo-vare-oy-maaraaikainen-sahko-6-kk
Oomi Oy,12,observed_seller_data,2026-04-08,9.5900,1,0,yozd5c-oomi-oy-oomi-kiintea-12-kk
Helen Oy,6,observed_seller_data,2026-04-08,7.9900,1,0,z5gzkm-helen-oy-maaraaikainen-perussahko-6-kk
Imatran Seudun Sähkö Oy,6,observed_seller_data,2026-04-08,8.3800,1,0,zk9vue-imatran-seudun-sahko-oy-voima-6-kk
Väre Oy,12,observed_seller_data,2026-04-09,9.6600,1,0,0yhdx8-vare-oy-maaraaikainen-sahko-12-kk
Lammaisten Energia Oy,6,observed_seller_data,2026-04-09,10.4200,1,0,1lchnx-lammaisten-energia-oy-iisi-helpposahko-yleissahko-6-kk
Keravan Energia Oy,24,observed_seller_data,2026-04-09,8.2000,2,0,1tma4r-keravan-energia-oy-perussahko-yleissahko;fdrvso-keravan-energia-oy-perussahko-luonnonvoima-24-kk
Köyliön-Säkylän Sähkö Oy,24,observed_seller_data,2026-04-09,7.8500,1,0,2wdwn8-koylion-sakylan-sahko-oy-lallin-maaris-2v
Porvoon Energia Oy,12,observed_seller_data,2026-04-09,9.9000,3,0,2xtbfi-porvoon-energia-oy-ilmastoviisas-12-kk-co2-paastottomasti-tuotettu;hpjkgr-porvoon-energia-oy-wind-12-kk-kotimainen-tuulisahko;xqafn5-porvoon-energia-oy-eko-12-kk-luonnonsuojeluliiton-sertifioima-ekoenergia
Sähkötytöt Oy,24,observed_seller_data,2026-04-09,8.2800,1,1,3iwie0-sahkotytot-oy-kiintea-24kk
Koillis-Satakunnan Sähkö Oy,12,observed_seller_data,2026-04-09,8.5350,2,2,3o6flt-koillis-satakunnan-sahko-oy-vakaawirta-12-kk;ukxanu-koillis-satakunnan-sahko-oy-ikiwirta-12-kk
Lammaisten Energia Oy,24,observed_seller_data,2026-04-09,9.6100,1,0,3wrqym-lammaisten-energia-oy-iisi-helpposahko-yleissahko-24-kk
Aalto energia Oyj,12,observed_seller_data,2026-04-09,8.9000,1,1,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua
Imatran Seudun Sähkö Oy,12,observed_seller_data,2026-04-09,9.6900,1,0,48roh1-imatran-seudun-sahko-oy-voima-12-kk
Omavoima Oy,12,observed_seller_data,2026-04-09,9.2700,1,0,4mpypn-omavoima-oy-oma-12kk-yleis
Porvoon Energia Oy,24,observed_seller_data,2026-04-09,9.0000,3,0,55tjpy-porvoon-energia-oy-wind-24-kk-kotimainen-tuulisahko;6dsic7-porvoon-energia-oy-eko-24-kk-luonnonsuojeluliiton-sertifioima-ekoenergia;enf0bt-porvoon-energia-oy-ilmastoviisas-24-kk-co2-paastottomasti-tuotettu
Vattenfall Oy,12,observed_seller_data,2026-04-09,9.7900,3,0,5fjych-vattenfall-oy-taysvesi-12-kk;dmeorb-vattenfall-oy-ilmasto-mix-12-kk-perusmaksut-50;jrqe7w-vattenfall-oy-taystuuli-12-kk
Vaasan Sähkö Myynti Oy,12,observed_seller_data,2026-04-09,9.6600,1,1,5kvkez-vaasan-sahko-myynti-oy-kiintea-12-kk-yleissahko
Keravan Energia Oy,12,observed_seller_data,2026-04-09,8.9000,3,0,5pbkuh-keravan-energia-oy-perussahko-yleis-12-kk;fpmbqk-keravan-energia-oy-perussahko-luonnonvoima-12-kk;hxy4ru-keravan-energia-oy-perussahko-co2-vapaa-12-kk
Turku Energia Oy,6,observed_seller_data,2026-04-09,7.9500,1,0,7nxvts-turku-energia-oy-louna-lahi-6kk
Lammaisten Energia Oy,12,observed_seller_data,2026-04-09,10.4200,1,0,8g5fqu-lammaisten-energia-oy-iisi-helpposahko-yleissahko-12-kk
Köyliön-Säkylän Sähkö Oy,12,observed_seller_data,2026-04-09,8.1000,1,0,9h2xa2-koylion-sakylan-sahko-oy-lallin-maaris-1v
Nurmijärven Sähkö Oy,12,observed_seller_data,2026-04-09,9.4500,1,0,9rz5gq-nurmijarven-sahko-oy-yleissahko-1-vuotta
Sähkötytöt Oy,12,observed_seller_data,2026-04-09,8.9000,1,1,bafxlm-sahkotytot-oy-kiintea-12kk-ensimmaiset-3kk-ilman-perusmaksua
Vattenfall Oy,6,observed_seller_data,2026-04-09,7.5400,1,0,bdjjig-vattenfall-oy-ilmasto-mix-6-kk
Hehku Energia Oy,6,observed_seller_data,2026-04-09,7.5500,1,0,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk
Keravan Energia Oy,6,observed_seller_data,2026-04-09,8.6000,1,0,bl0tn4-keravan-energia-oy-perussahko-yleis-6-kk
Alajärven Sähkö Oy,12,observed_seller_data,2026-04-09,8.9900,1,0,bp5plr-alajarven-sahko-oy-yleissahko-12-kk
Koillis-Satakunnan Sähkö Oy,24,observed_seller_data,2026-04-09,7.9100,1,1,brglnc-koillis-satakunnan-sahko-oy-vakaawirta-24-kk
Korpelan Energia Oy,12,observed_seller_data,2026-04-09,8.9500,1,0,bt2b0t-korpelan-energia-oy-korpela-kesto-kiintea-12-kk
Pohjois-Karjalan Sähkö Oy,6,observed_seller_data,2026-04-09,7.7400,1,0,ckrbsl-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta
Porvoon Energia Oy,6,observed_seller_data,2026-04-09,7.2000,1,0,crno5p-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu
Vattenfall Oy,24,observed_seller_data,2026-04-09,9.8300,3,1,e6dnpo-vattenfall-oy-taystuuli-24-kk;gddesq-vattenfall-oy-ilmasto-mix-24-kk-ensimmaiset-3-kk-perusmaksu-0;gr7yb0-vattenfall-oy-taysvesi-24-kk
Imatran Seudun Sähkö Oy,24,observed_seller_data,2026-04-09,8.4800,1,0,egbxyb-imatran-seudun-sahko-oy-voima-24-kk
Cheap Energy Finland Oy,6,observed_seller_data,2026-04-09,7.4500,1,1,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi
Kokkolan Energia Oy,24,observed_seller_data,2026-04-09,8.6500,1,0,evy7rb-kokkolan-energia-oy-ranta-24-kk
Hehku Energia Oy,24,observed_seller_data,2026-04-09,8.2400,2,2,f73apx-hehku-energia-oy-hehku-kiintea-24-kk-0-kuukausimaksu-ensimmaiset-3-kk;mm1cnn-hehku-energia-oy-hehku-hiilivapaa-24-kk-0-kuukausimaksu-ensimmaiset-6-kk
Äänekosken Energia Oy,6,observed_seller_data,2026-04-09,7.8000,1,0,fblgqd-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-6-kk-paastoton
Nurmijärven Sähkö Oy,24,observed_seller_data,2026-04-09,8.4500,1,0,h7b6xu-nurmijarven-sahko-oy-yleissahko-2-vuotta
Vaasan Sähkö Myynti Oy,6,observed_seller_data,2026-04-09,7.9300,1,1,i8qbil-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko
Kokkolan Energia Oy,6,observed_seller_data,2026-04-09,7.2500,1,0,jnlupi-kokkolan-energia-oy-ranta-6-kk
Lumme Energia,24,observed_seller_data,2026-04-09,8.7900,1,0,jslu5b-lumme-energia-vuosisahko-24-kk-hinta-joka-ei-heilu
Pohjois-Karjalan Sähkö Oy,12,observed_seller_data,2026-04-09,8.5100,1,0,kizv5l-pohjois-karjalan-sahko-oy-optimi-takuu-12-kuukautta
Paneliankosken Voima Oy,12,observed_seller_data,2026-04-09,8.2500,1,0,kxaja0-paneliankosken-voima-oy-kosken-vuosiwoima-12-kk
Väre Oy,6,observed_seller_data,2026-04-09,7.0700,1,0,kzxar1-vare-oy-maaraaikainen-sahko-6-kk
Sähkötytöt Oy,6,observed_seller_data,2026-04-09,7.6900,1,1,lakfhn-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua
Oomi Oy,24,observed_seller_data,2026-04-09,8.7900,1,0,lbjb7g-oomi-oy-oomi-kiintea-24-kk
Helen Oy,12,observed_seller_data,2026-04-09,9.2700,1,0,luadkb-helen-oy-maaraaikainen-perussahko-12-kk
Äänekosken Energia Oy,12,observed_seller_data,2026-04-09,9.0000,1,0,m5hm5p-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-12-kk-paastoton
Aalto energia Oyj,24,observed_seller_data,2026-04-09,8.2900,1,1,mgxpn4-aalto-energia-oyj-ankkuri-kiintea-24kk-ensimmaiset-3kk-ilman-kuukausimaksua
Hehku Energia Oy,12,observed_seller_data,2026-04-09,9.1400,2,2,muhunn-hehku-energia-oy-hehku-hiilivapaa-12-kk-0-kuukausimaksu-ensimmaiset-3-kk;s2orfb-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk
Omavoima Oy,24,observed_seller_data,2026-04-09,8.4800,1,0,mw0gwr-omavoima-oy-oma-24kk-yleis
Turku Energia Oy,12,observed_seller_data,2026-04-09,8.2900,1,0,nenef4-turku-energia-oy-louna-lahi-12kk
Paneliankosken Voima Oy,24,observed_seller_data,2026-04-09,7.8500,1,0,ovufpo-paneliankosken-voima-oy-kosken-vuosiwoima-24-kk
Pohjois-Karjalan Sähkö Oy,24,observed_seller_data,2026-04-09,7.9900,1,0,oyfer4-pohjois-karjalan-sahko-oy-optimi-takuu-24-kuukautta
Lumme Energia,12,observed_seller_data,2026-04-09,9.5900,1,0,peerrr-lumme-energia-vuosisahko-12-kk-hinta-joka-ei-heilu
Vihreä Älyenergia Oy,24,observed_seller_data,2026-04-09,9.6400,2,0,pgzbji-vihrea-alyenergia-oy-vire-tuuli-kiintea-24kk;srpcid-vihrea-alyenergia-oy-vankka-kiintea-24kk-fossiilivapaa
Cheap Energy Finland Oy,24,observed_seller_data,2026-04-09,7.9000,1,1,rqdlzd-cheap-energy-finland-oy-cheap-maaraaikainen-24-kk-0-kuukausimaksu-ensimmaiset-4-kk
Vihreä Älyenergia Oy,12,observed_seller_data,2026-04-09,10.1400,2,0,rwgzqx-vihrea-alyenergia-oy-vire-tuuli-kiintea-12kk;uhsdin-vihrea-alyenergia-oy-vankka-kiintea-12kk-fossiilivapaa
Helen Oy,24,observed_seller_data,2026-04-09,8.3700,1,0,rziblc-helen-oy-maaraaikainen-perussahko-24-kk
Kokkolan Energia Oy,12,observed_seller_data,2026-04-09,9.0500,1,0,s43zr9-kokkolan-energia-oy-ranta-12-kk
Väre Oy,24,observed_seller_data,2026-04-09,8.8800,1,0,suo24w-vare-oy-maaraaikainen-sahko-24-kk
Alajärven Sähkö Oy,24,observed_seller_data,2026-04-09,8.4000,1,0,tevygl-alajarven-sahko-oy-yleissahko-24-kk
Vaasan Sähkö Myynti Oy,24,observed_seller_data,2026-04-09,8.7900,1,1,vsuzak-vaasan-sahko-myynti-oy-kiintea-24-kk-yleissahko
Äänekosken Energia Oy,24,observed_seller_data,2026-04-09,8.5000,1,0,wsga8a-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-24-kk-paastoton
Lumme Energia,6,observed_seller_data,2026-04-09,9.1000,1,0,xd32oi-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu
Oomi Oy,12,observed_seller_data,2026-04-09,9.5900,1,0,yozd5c-oomi-oy-oomi-kiintea-12-kk
Helen Oy,6,observed_seller_data,2026-04-09,7.9900,1,0,z5gzkm-helen-oy-maaraaikainen-perussahko-6-kk
Imatran Seudun Sähkö Oy,6,observed_seller_data,2026-04-09,8.3800,1,0,zk9vue-imatran-seudun-sahko-oy-voima-6-kk
Väre Oy,12,observed_seller_data,2026-04-10,9.6600,1,0,0yhdx8-vare-oy-maaraaikainen-sahko-12-kk
Lammaisten Energia Oy,6,observed_seller_data,2026-04-10,10.4200,1,0,1lchnx-lammaisten-energia-oy-iisi-helpposahko-yleissahko-6-kk
Keravan Energia Oy,24,observed_seller_data,2026-04-10,8.2000,2,0,1tma4r-keravan-energia-oy-perussahko-yleissahko;fdrvso-keravan-energia-oy-perussahko-luonnonvoima-24-kk
Köyliön-Säkylän Sähkö Oy,24,observed_seller_data,2026-04-10,7.8500,1,0,2wdwn8-koylion-sakylan-sahko-oy-lallin-maaris-2v
Sähkötytöt Oy,24,observed_seller_data,2026-04-10,8.2800,1,1,3iwie0-sahkotytot-oy-kiintea-24kk
Lammaisten Energia Oy,24,observed_seller_data,2026-04-10,9.6100,1,0,3wrqym-lammaisten-energia-oy-iisi-helpposahko-yleissahko-24-kk
Aalto energia Oyj,12,observed_seller_data,2026-04-10,8.9000,1,1,40obsl-aalto-energia-oyj-ankkuri-kiintea-12kk-ensimmainen-kuukausi-ilman-perusmaksua
Imatran Seudun Sähkö Oy,12,observed_seller_data,2026-04-10,9.6900,1,0,48roh1-imatran-seudun-sahko-oy-voima-12-kk
Porvoon Energia Oy,24,observed_seller_data,2026-04-10,8.9000,3,0,4kqqew-porvoon-energia-oy-wind-24-kk-kotimainen-tuulisahko;uviipu-porvoon-energia-oy-ilmastoviisas-24-kk-co2-paastottomasti-tuotettu;vlvduw-porvoon-energia-oy-eko-24-kk-luonnonsuojeluliiton-sertifioima-ekoenergia
Omavoima Oy,12,observed_seller_data,2026-04-10,9.2700,1,0,4mpypn-omavoima-oy-oma-12kk-yleis
Vattenfall Oy,12,observed_seller_data,2026-04-10,9.7900,3,0,5fjych-vattenfall-oy-taysvesi-12-kk;dmeorb-vattenfall-oy-ilmasto-mix-12-kk-perusmaksut-50;jrqe7w-vattenfall-oy-taystuuli-12-kk
Vaasan Sähkö Myynti Oy,12,observed_seller_data,2026-04-10,9.6600,1,1,5kvkez-vaasan-sahko-myynti-oy-kiintea-12-kk-yleissahko
Keravan Energia Oy,12,observed_seller_data,2026-04-10,8.9000,3,0,5pbkuh-keravan-energia-oy-perussahko-yleis-12-kk;fpmbqk-keravan-energia-oy-perussahko-luonnonvoima-12-kk;hxy4ru-keravan-energia-oy-perussahko-co2-vapaa-12-kk
Turku Energia Oy,6,observed_seller_data,2026-04-10,7.9500,1,0,7nxvts-turku-energia-oy-louna-lahi-6kk
Lammaisten Energia Oy,12,observed_seller_data,2026-04-10,10.4200,1,0,8g5fqu-lammaisten-energia-oy-iisi-helpposahko-yleissahko-12-kk
Köyliön-Säkylän Sähkö Oy,12,observed_seller_data,2026-04-10,8.1000,1,0,9h2xa2-koylion-sakylan-sahko-oy-lallin-maaris-1v
Nurmijärven Sähkö Oy,12,observed_seller_data,2026-04-10,9.4500,1,0,9rz5gq-nurmijarven-sahko-oy-yleissahko-1-vuotta
Sähkötytöt Oy,12,observed_seller_data,2026-04-10,8.9000,1,1,bafxlm-sahkotytot-oy-kiintea-12kk-ensimmaiset-3kk-ilman-perusmaksua
Vattenfall Oy,6,observed_seller_data,2026-04-10,7.5400,1,0,bdjjig-vattenfall-oy-ilmasto-mix-6-kk
Hehku Energia Oy,6,observed_seller_data,2026-04-10,7.5500,1,0,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk
Keravan Energia Oy,6,observed_seller_data,2026-04-10,8.6000,1,0,bl0tn4-keravan-energia-oy-perussahko-yleis-6-kk
Alajärven Sähkö Oy,12,observed_seller_data,2026-04-10,8.9900,1,0,bp5plr-alajarven-sahko-oy-yleissahko-12-kk
Korpelan Energia Oy,12,observed_seller_data,2026-04-10,8.9500,1,0,bt2b0t-korpelan-energia-oy-korpela-kesto-kiintea-12-kk
Pohjois-Karjalan Sähkö Oy,6,observed_seller_data,2026-04-10,7.7400,1,0,ckrbsl-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta
Vattenfall Oy,24,observed_seller_data,2026-04-10,9.8300,3,1,e6dnpo-vattenfall-oy-taystuuli-24-kk;gddesq-vattenfall-oy-ilmasto-mix-24-kk-ensimmaiset-3-kk-perusmaksu-0;gr7yb0-vattenfall-oy-taysvesi-24-kk
Imatran Seudun Sähkö Oy,24,observed_seller_data,2026-04-10,8.4800,1,0,egbxyb-imatran-seudun-sahko-oy-voima-24-kk
Cheap Energy Finland Oy,6,observed_seller_data,2026-04-10,7.4500,1,1,eqsxae-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmainen-kuukausi
Kokkolan Energia Oy,24,observed_seller_data,2026-04-10,8.6500,1,0,evy7rb-kokkolan-energia-oy-ranta-24-kk
Äänekosken Energia Oy,6,observed_seller_data,2026-04-10,7.8000,1,0,fblgqd-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-6-kk-paastoton
Nurmijärven Sähkö Oy,24,observed_seller_data,2026-04-10,8.4500,1,0,h7b6xu-nurmijarven-sahko-oy-yleissahko-2-vuotta
Porvoon Energia Oy,6,observed_seller_data,2026-04-10,7.0000,1,0,i5otzs-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu
Vaasan Sähkö Myynti Oy,6,observed_seller_data,2026-04-10,7.9300,1,1,i8qbil-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko
Kokkolan Energia Oy,6,observed_seller_data,2026-04-10,7.2500,1,0,jnlupi-kokkolan-energia-oy-ranta-6-kk
Lumme Energia,24,observed_seller_data,2026-04-10,8.7900,1,0,jslu5b-lumme-energia-vuosisahko-24-kk-hinta-joka-ei-heilu
Pohjois-Karjalan Sähkö Oy,12,observed_seller_data,2026-04-10,8.5100,1,0,kizv5l-pohjois-karjalan-sahko-oy-optimi-takuu-12-kuukautta
