supplier,term,contract_id,before,after,before_basis,after_basis,numeric_difference,before_price,after_price
Paneliankosken Voima Oy,12,xcvrus-paneliankosken-voima-oy-kosken-vuosiwoima-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.7000,9.7000
Hehku Energia Oy,12,xe9b5i-hehku-energia-oy-hehku-kiintea-12-kk-0-kuukausimaksu-ensimmaiset-3-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.8900,9.8900
Hehku Energia Oy,24,xiojoa-hehku-energia-oy-hehku-hiilivapaa-24-kk-0-kuukausimaksu-ensimmaiset-6-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.6900,9.6900
Vattenfall Oy,12,7uiigw-vattenfall-oy-ilmasto-mix-12-kk-perusmaksut-0-ensimmaiset-3-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.7900,10.7900
Vattenfall Oy,12,dyxylq-vattenfall-oy-taystuuli-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.7900,10.7900
Äänekosken Energia Oy,6,nwp0pg-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-6-kk-paastoton,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,11.2000,11.2000
Vattenfall Oy,12,qezbfw-vattenfall-oy-taysvesi-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.0900,10.0900
Äänekosken Energia Oy,12,rc3xem-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-12-kk-paastoton,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.2000,10.2000
Äänekosken Energia Oy,24,zujknd-aanekosken-energia-oy-maalaisjarkisahko-yleissahko-24-kk-paastoton,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.3000,9.3000
Imatran Seudun Sähkö Oy,12,ctngqh-imatran-seudun-sahko-oy-voima-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.9900,10.9900
Keravan Energia Oy,6,pkdzdu-keravan-energia-oy-perussahko-yleis-6-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,12.3000,12.3000
Keravan Energia Oy,12,s91uya-keravan-energia-oy-perussahko-yleis-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.4000,10.4000
Alajärven Sähkö Oy,24,sdylbi-alajarven-sahko-oy-yleissahko-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.5000,9.5000
Alajärven Sähkö Oy,12,vrekdo-alajarven-sahko-oy-yleissahko-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.9000,9.9000
Imatran Seudun Sähkö Oy,6,xhm9jf-imatran-seudun-sahko-oy-voima-6-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,12.9900,12.9900
Keravan Energia Oy,12,xhyxbc-keravan-energia-oy-perussahko-luonnonvoima-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.6600,10.6600
Imatran Seudun Sähkö Oy,24,zlhj1m-imatran-seudun-sahko-oy-voima-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.2900,9.2900
Vattenfall Oy,24,ecld9c-vattenfall-oy-ilmasto-mix-24-kk-perusmaksut-0-ensimmaiset-3-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.8800,9.8800
Vattenfall Oy,24,fdqipv-vattenfall-oy-taysvesi-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.8800,9.8800
Vihreä Älyenergia Oy,12,lis8le-vihrea-alyenergia-oy-vankka-kiintea-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.4900,10.4900
Vattenfall Oy,24,mjkxsk-vattenfall-oy-taystuuli-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.8800,9.8800
Vihreä Älyenergia Oy,24,pgkbdj-vihrea-alyenergia-oy-vankka-kiintea-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.1400,10.1400
