duration_months,from_date,to_date,calendar_days,model_boundary,change_revision,hedge_contribution,premium_contribution,retail_contribution,rounding_residual,trade_date,old_delivery_start,new_delivery_start,old_window_on_new_curve,new_window_on_new_curve,delivery_roll_hedge,delivery_roll_forecast,old_window_curve_and_selection_forecast
6,2026-06-30,2026-07-01,1,False,0.315,0.35420999999999997,-0.11867999999999998,0.07950000000000017,-3.0000000000141025e-05,2026-06-30,2026-07-01,2026-08-01,7.291495434782608,8.389504483695651,1.0980090489130427,0.3294027146739128,0.024822399456521538
6,2026-07-31,2026-08-01,1,False,0.42979999999999996,0.4604700000000001,0.0,-0.030630000000000022,-4.0000000000095515e-05,2026-07-31,2026-08-01,2026-09-01,10.639958206521738,11.95340350828729,1.313445301765551,0.3940335905296653,0.06643997282608662
6,2026-08-31,2026-09-01,1,False,0.26139999999999997,0.25242000000000003,0.0,0.008999999999999809,-1.999999999985347e-05,2026-08-31,2026-09-01,2026-10-01,11.502227541436467,11.8664939010989,0.3642663596624338,0.10927990789873014,0.14315320441989066
12,2026-06-30,2026-07-01,1,False,0.027500000000000004,0.05292000000000003,-0.02961,0.004110000000000014,7.999999999996205e-05,2026-06-30,2026-07-01,2026-08-01,7.262908493150684,7.291367767123285,0.02845927397260084,0.008537782191780252,0.04437851917808242
12,2026-07-31,2026-08-01,1,False,0.023899999999999998,0.04269000000000016,0.0,-0.01886999999999972,7.999999999955959e-05,2026-07-31,2026-08-01,2026-09-01,8.960448999999999,8.88860798630137,-0.07184101369862894,-0.021552304109588683,0.06425256164383483
12,2026-08-31,2026-09-01,1,False,-0.05459999999999998,-0.05457000000000018,0.0,-0.0,-2.999999999980102e-05,2026-08-31,2026-09-01,2026-10-01,8.679566246575343,8.194654876712328,-0.4849113698630152,-0.14547341095890456,0.09090463561643922
24,2026-06-30,2026-07-01,1,False,0.0615,0.0664500000000002,-0.019350000000000065,0.014370000000000082,2.9999999999780202e-05,2026-06-30,2026-07-01,2026-08-01,6.504759425444596,6.578045588235293,0.07328616279069688,0.021985848837209065,0.044477989740082435
24,2026-07-31,2026-08-01,1,False,0.0621,0.0589500000000001,0.0,0.0031800000000000495,-3.0000000000147964e-05,2026-07-31,2026-08-01,2026-09-01,7.550315205198358,7.608965424076606,0.05865021887824806,0.017595065663474418,0.041341863201094585
24,2026-08-31,2026-09-01,1,False,0.012899999999999995,0.00912000000000006,0.0,0.0037499999999997865,3.0000000000147964e-05,2026-08-31,2026-09-01,2026-10-01,7.5451063543091665,7.393321744186046,-0.15178461012312017,-0.04553538303693605,0.05466100136798957
