id,forecast_date,target_date,horizon_days,duration_months,target_quantile,current_price_cents_per_kwh,forecast_price_cents_per_kwh,expected_change_cents_per_kwh,interval_low_cents_per_kwh,interval_high_cents_per_kwh,hedge_cost_cents_per_kwh,retail_premium_cents_per_kwh,normal_retail_premium_cents_per_kwh,fair_price_cents_per_kwh,gap_cents_per_kwh,futures_trade_date,coverage_quality,confidence,direction,consumer_signal,contract_count,model_version,source_metadata,actual_price_cents_per_kwh,actual_change_cents_per_kwh,forecast_error_cents_per_kwh,absolute_error_cents_per_kwh,actual_direction,direction_correct,evaluated_at,created_at,updated_at
515,2026-06-14,2026-07-14,30,6,p20,9.3083,9.2014,-0.1069,,,7.5577,1.7506,1.3942,8.9519,-0.3564,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.4265,1.1182,-1.2251,1.2251,rising,0,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
516,2026-06-14,2026-07-14,30,6,p80,11.0560,10.9625,-0.0935,,,7.5577,3.4983,3.1864,10.7442,-0.3118,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.7237,0.6677,-0.7612,0.7612,rising,0,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
517,2026-06-14,2026-07-14,30,12,median,10.1000,10.0555,-0.0445,,,7.4029,2.6971,2.5488,9.9517,-0.1483,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.0800,-0.0200,-0.0245,0.0245,slightly_falling,1,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
518,2026-06-14,2026-07-14,30,12,p20,9.4000,9.3593,-0.0407,,,7.4029,1.9971,1.8615,9.2645,-0.1355,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.4160,0.0160,-0.0567,0.0567,slightly_rising,1,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
519,2026-06-14,2026-07-14,30,12,p80,10.4200,10.3770,-0.0430,,,7.4029,3.0171,2.8739,10.2768,-0.1432,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.4200,0.0000,-0.0430,0.0430,flat,1,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
520,2026-06-14,2026-07-14,30,24,median,9.0700,9.0439,-0.0261,,,6.6030,2.4670,2.3800,8.9830,-0.0870,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.1469,0.0769,-0.1030,0.1030,slightly_rising,1,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
521,2026-06-14,2026-07-14,30,24,p20,8.7900,8.7588,-0.0312,,,6.6030,2.1870,2.0830,8.6860,-0.1040,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",8.7500,-0.0400,0.0088,0.0088,slightly_falling,1,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
522,2026-06-14,2026-07-14,30,24,p80,9.5040,9.4829,-0.0211,,,6.6030,2.9010,2.8306,9.4336,-0.0704,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.7275,0.2235,-0.2446,0.2446,rising,0,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
523,2026-06-15,2026-07-15,30,6,median,10.6482,10.5623,-0.0859,,,7.5577,3.0905,2.8041,10.3618,-0.2864,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.1000,0.4518,-0.5377,0.5377,rising,0,2026-07-15 04:45:00,2026-06-15 04:30:10,2026-07-15 04:45:00
524,2026-06-15,2026-07-15,30,6,p20,9.3083,9.2281,-0.0802,,,7.5577,1.7506,1.4833,9.0410,-0.2673,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.1175,0.8092,-0.8894,0.8894,rising,0,2026-07-15 04:45:00,2026-06-15 04:30:10,2026-07-15 04:45:00
