date,segment,kwh,evidence,v2_count,v3_count,matched,lost,new,unavailable,v2_median,v3_median,v2_dominant,v3_dominant,v2_methods,v3_methods,median_delta,median_delta_percent,large
2026-05-28,open_ended,18000,69,59,59,59,0,0,10,2190.9,1917.885341129032,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 34, ""none"": 9, ""recurring_forward_curve_shift"": 8, ""recurring_spot_seasonal_index"": 7}","{""forward_curve_spot"": 1, ""none"": 7, ""recurring_forward_curve_shift"": 8, ""recurring_spot_seasonal_index"": 7, ""supplier_adjusted_forward_curve_shift"": 6, ""supplier_adjusted_forward_premium"": 30}",-273.0146588709681,-12.461301696607244,True
2026-06-25,open_ended,18000,72,63,63,63,0,0,9,2145.21,1744.577595,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 35, ""none"": 11, ""recurring_forward_curve_shift"": 9, ""recurring_spot_seasonal_index"": 7}","{""forward_curve_spot"": 1, ""none"": 9, ""recurring_forward_curve_shift"": 9, ""recurring_spot_seasonal_index"": 7, ""supplier_adjusted_forward_curve_shift"": 11, ""supplier_adjusted_forward_premium"": 26}",-400.63240500000006,-18.67567301103389,True
2026-06-30,open_ended,5000,72,63,63,63,0,0,9,636.7,533.464757638889,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 35, ""none"": 11, ""recurring_forward_curve_shift"": 9, ""recurring_spot_seasonal_index"": 7}","{""forward_curve_spot"": 1, ""none"": 9, ""recurring_forward_curve_shift"": 9, ""recurring_spot_seasonal_index"": 7, ""supplier_adjusted_forward_curve_shift"": 11, ""supplier_adjusted_forward_premium"": 26}",-103.23524236111109,-16.21411062684327,True
2026-07-01,open_ended,18000,71,62,62,62,0,0,9,2059.15,1899.0438374999999,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 35, ""none"": 11, ""recurring_forward_curve_shift"": 15}","{""forward_curve_spot"": 1, ""none"": 9, ""recurring_forward_curve_shift"": 15, ""supplier_adjusted_forward_curve_shift"": 12, ""supplier_adjusted_forward_premium"": 25}",-160.1061625000002,-7.77535208702621,True
2026-07-23,hybrid,5000,45,41,40,40,1,0,5,509.24,511.70869573252685,none,hybrid_base_only,"{""hybrid_base_only"": 5, ""none"": 36}","{""hybrid_base_only"": 31, ""none"": 7, ""recurring_forward_curve_shift"": 2}",2.4686957325268395,0.48478040462784533,False
2026-07-23,open_ended,5000,70,62,57,57,5,0,13,625.3125,661.4459981518819,none,supplier_adjusted_forward_premium,"{""forward_curve_spot"": 1, ""hold_current_supplier_price"": 1, ""none"": 57, ""recurring_forward_curve_shift"": 3}","{""forward_curve_spot"": 1, ""none"": 9, ""recurring_forward_curve_shift"": 11, ""supplier_adjusted_forward_curve_shift"": 14, ""supplier_adjusted_forward_premium"": 22}",36.133498151881895,5.77847046906657,False
2026-07-23,quarterly,5000,13,12,13,12,0,1,0,533.1337,593.8173914650537,none,recurring_forward_curve_shift,"{""none"": 8, ""recurring_forward_curve_shift"": 4}","{""none"": 3, ""recurring_forward_curve_shift"": 10}",60.6836914650537,11.382452744040322,False
2026-07-23,quarterly,18000,13,12,13,12,0,1,0,1757.7563,1984.862609274193,none,recurring_forward_curve_shift,"{""none"": 8, ""recurring_forward_curve_shift"": 4}","{""none"": 3, ""recurring_forward_curve_shift"": 10}",227.10630927419288,12.920238674393763,True
2026-07-24,hybrid,5000,43,39,38,38,1,0,5,510.5,511.80000000000007,hybrid_base_only,hybrid_base_only,"{""hybrid_base_only"": 37, ""recurring_forward_curve_shift"": 2}","{""hybrid_base_only"": 35, ""none"": 1, ""recurring_forward_curve_shift"": 2}",1.3000000000000682,0.25465230166504765,False
2026-07-24,open_ended,5000,69,58,56,56,2,0,13,653.3694,749.5891354166667,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""hold_current_supplier_price"": 38, ""hold_last_known_price"": 1, ""none"": 7, ""recurring_forward_curve_shift"": 12}","{""none"": 6, ""recurring_forward_curve_shift"": 11, ""supplier_adjusted_forward_curve_shift"": 17, ""supplier_adjusted_forward_premium"": 22}",96.21973541666671,14.726697549145506,False
2026-07-24,open_ended,18000,69,58,56,56,2,0,13,2209.8578,2549.2404846774193,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""hold_current_supplier_price"": 38, ""hold_last_known_price"": 1, ""none"": 7, ""recurring_forward_curve_shift"": 12}","{""none"": 6, ""recurring_forward_curve_shift"": 11, ""supplier_adjusted_forward_curve_shift"": 17, ""supplier_adjusted_forward_premium"": 22}",339.3826846774191,15.357670736887192,True
2026-07-24,quarterly,5000,13,13,13,13,0,0,0,604.1108,597.5107856182794,recurring_forward_curve_shift,recurring_forward_curve_shift,"{""recurring_forward_curve_shift"": 13}","{""none"": 3, ""recurring_forward_curve_shift"": 10}",-6.600014381720598,-1.0925171974612269,False
2026-08-06,open_ended,5000,48,44,43,43,1,0,5,638.675,758.046218077957,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""hold_current_supplier_price"": 38, ""none"": 6}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 17, ""supplier_adjusted_forward_premium"": 22}",119.371218077957,18.690447892583396,True
2026-08-11,open_ended,18000,46,42,41,41,1,0,5,2271.675,2744.147370967741,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""hold_current_supplier_price"": 36, ""none"": 6}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 18, ""supplier_adjusted_forward_premium"": 19}",472.47237096774097,20.798413988257163,True
2026-09-10,open_ended,5000,43,39,38,38,1,0,5,720.8,844.1660291666667,hold_current_supplier_price,supplier_adjusted_forward_premium,"{""hold_current_supplier_price"": 33, ""none"": 6}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 18}",123.36602916666675,17.11515387994822,True
2026-09-12,hybrid,5000,42,38,38,38,0,0,4,593.2,593.2,hybrid_base_only,hybrid_base_only,"{""hybrid_base_only"": 38}","{""hybrid_base_only"": 37, ""none"": 1}",0.0,0.0,False
2026-09-12,open_ended,5000,43,39,38,38,1,0,5,648.9529,840.7736881944445,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_premium,"{""none"": 6, ""supplier_adjusted_forward_curve_shift"": 13, ""supplier_adjusted_spot_seasonal_index"": 20}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 18}",191.8207881944445,29.558506972454317,True
2026-09-12,open_ended,18000,43,39,38,38,1,0,5,2181.4786,2901.90738875,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_premium,"{""none"": 6, ""supplier_adjusted_forward_curve_shift"": 13, ""supplier_adjusted_spot_seasonal_index"": 20}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 18}",720.42878875,33.02479285150907,True
2026-09-12,quarterly,5000,19,18,18,18,0,0,1,651.57,651.5700281249999,recurring_forward_curve_shift,recurring_forward_curve_shift,"{""recurring_forward_curve_shift"": 18}","{""none"": 5, ""recurring_forward_curve_shift"": 13}",2.8124999857936928e-05,4.316497054489452e-06,False
2026-09-13,open_ended,18000,43,39,38,38,1,0,5,2179.5777,2899.4004525,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_premium,"{""none"": 6, ""supplier_adjusted_forward_curve_shift"": 13, ""supplier_adjusted_spot_seasonal_index"": 20}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 18}",719.8227525000002,33.02578992710378,True
2026-09-17,hybrid,5000,41,37,37,37,0,0,4,598.91,598.9100000000001,hybrid_base_only,hybrid_base_only,"{""hybrid_base_only"": 37}","{""hybrid_base_only"": 36, ""none"": 1}",1.1368683772161603e-13,1.8982290781856378e-14,False
2026-09-17,open_ended,5000,42,38,38,38,0,0,4,778.859,782.2825777777778,supplier_adjusted_forward_premium,supplier_adjusted_forward_premium,"{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 15, ""supplier_adjusted_forward_premium"": 19}","{""none"": 4, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 18}",3.423577777777723,0.43956323002979014,False
2026-09-17,quarterly,5000,19,18,18,18,0,0,1,620.509,620.5090395833333,recurring_forward_curve_shift,recurring_forward_curve_shift,"{""recurring_forward_curve_shift"": 18}","{""none"": 5, ""recurring_forward_curve_shift"": 13}",3.958333331866015e-05,6.379171505757395e-06,False
2026-09-20,hybrid,5000,41,37,37,37,0,0,4,598.91,598.9100000000001,hybrid_base_only,hybrid_base_only,"{""hybrid_base_only"": 37}","{""hybrid_base_only"": 36, ""none"": 1}",1.1368683772161603e-13,1.8982290781856378e-14,False
2026-09-20,open_ended,5000,43,39,39,39,0,0,4,789.4073,794.7826145833332,supplier_adjusted_forward_premium,supplier_adjusted_forward_premium,"{""none"": 5, ""supplier_adjusted_forward_curve_shift"": 15, ""supplier_adjusted_forward_premium"": 19}","{""none"": 5, ""supplier_adjusted_forward_curve_shift"": 16, ""supplier_adjusted_forward_premium"": 18}",5.375314583333193,0.680930437726278,False
2026-09-20,quarterly,5000,19,18,18,18,0,0,1,634.7508,634.7507621527777,recurring_forward_curve_shift,recurring_forward_curve_shift,"{""recurring_forward_curve_shift"": 18}","{""none"": 5, ""recurring_forward_curve_shift"": 13}",-3.784722230193438e-05,-5.96253243035446e-06,False
