table,before_rows,before_sha256,copy_before_sha256,after_rows,after_sha256,unchanged
jobs,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
migrations,45,7dc70821754c972a306ce1aefd5530e9bb00c86fb08794cc7c33b5cff9bfcc95,7dc70821754c972a306ce1aefd5530e9bb00c86fb08794cc7c33b5cff9bfcc95,45,7dc70821754c972a306ce1aefd5530e9bb00c86fb08794cc7c33b5cff9bfcc95,True
municipalities,308,d28a6c7f0f9734da1e8e96827b9177bfe6237939261503bfc647ed1c73c1aeb5,d28a6c7f0f9734da1e8e96827b9177bfe6237939261503bfc647ed1c73c1aeb5,308,d28a6c7f0f9734da1e8e96827b9177bfe6237939261503bfc647ed1c73c1aeb5,True
password_reset_tokens,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
postcodes,3800,883491a38925e9481adeb811941cf0c9702f73a7824268a7458625b4fcb3eab0,883491a38925e9481adeb811941cf0c9702f73a7824268a7458625b4fcb3eab0,3800,883491a38925e9481adeb811941cf0c9702f73a7824268a7458625b4fcb3eab0,True
price_components,248303,cb91a0fb768c6c0ec46c4354ce30aeecdb70c01fc4a01ae24f4a4ca9b97c2708,cb91a0fb768c6c0ec46c4354ce30aeecdb70c01fc4a01ae24f4a4ca9b97c2708,248303,cb91a0fb768c6c0ec46c4354ce30aeecdb70c01fc4a01ae24f4a4ca9b97c2708,True
retail_premium_observations,7989,dee995a169768e784c850474b5666834c1057e1843ea5d3021db7bb5f8fb94d3,dee995a169768e784c850474b5666834c1057e1843ea5d3021db7bb5f8fb94d3,7989,dee995a169768e784c850474b5666834c1057e1843ea5d3021db7bb5f8fb94d3,True
sessions,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
spot_futures,243,4f7d28948839fbcd2adafbb3de7874c1d6ad0952778aba34993d6405054bc599,4f7d28948839fbcd2adafbb3de7874c1d6ad0952778aba34993d6405054bc599,243,4f7d28948839fbcd2adafbb3de7874c1d6ad0952778aba34993d6405054bc599,True
spot_price_averages,1758,ec035e8cc7a67f2121d7717536d6c74ce7656f0fcf679cc61afa74a188326aa4,ec035e8cc7a67f2121d7717536d6c74ce7656f0fcf679cc61afa74a188326aa4,1758,ec035e8cc7a67f2121d7717536d6c74ce7656f0fcf679cc61afa74a188326aa4,True
spot_price_forecasts,3099,f2f020b63c8ca22f1289155072bdef27456c42f8c2d753045e282d750bd25bed,f2f020b63c8ca22f1289155072bdef27456c42f8c2d753045e282d750bd25bed,3099,f2f020b63c8ca22f1289155072bdef27456c42f8c2d753045e282d750bd25bed,True
spot_prices_hour,28461,f01f1f504fbff1f9c51b4626479a23e84fece3bd19763816c63d886a00fa0b72,f01f1f504fbff1f9c51b4626479a23e84fece3bd19763816c63d886a00fa0b72,28461,f01f1f504fbff1f9c51b4626479a23e84fece3bd19763816c63d886a00fa0b72,True
spot_prices_quarter,32991,8f7e5dc2098a683c573f55ab56e39b81106b8c320d7132f443c6b208535e3424,8f7e5dc2098a683c573f55ab56e39b81106b8c320d7132f443c6b208535e3424,32991,8f7e5dc2098a683c573f55ab56e39b81106b8c320d7132f443c6b208535e3424,True
spot_social_publications,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
sqlite_sequence,18,5eb3bac324da2674bcaedd32cf0667c1a520a02a389fd9eeb891808afd6c331a,5eb3bac324da2674bcaedd32cf0667c1a520a02a389fd9eeb891808afd6c331a,18,4764179ee85e108bca6cb0bd027bf6119c3753a8f76881f26dc97b71cb4edf72,False
users,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
