date,previous_date,segment,kwh,status,previous_method,method,previous_segment,new_segment,reason,source_gap_flags,contracts,contract_ids
2026-07-01,2026-06-30,quarterly,2000,lost_member,recurring_spot_seasonal_index,,quarterly,,missing_date_identity,,5,kwkidj-vaasan-sahko-myynti-oy-perussahko-yleissahko|p8rglg-vaasan-sahko-myynti-oy-tuulisahko-yosahko|wg5gfy-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|xisap5-vaasan-sahko-myynti-oy-tuulisahko-yleissahko|ygtb1w-vaasan-sahko-myynti-oy-perussahko-yosahko
2026-07-01,2026-06-30,quarterly,2000,method_changed,recurring_spot_seasonal_index,recurring_forward_curve_shift,quarterly,quarterly,,canonical_omitted_no_covering_source_observation,8,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko|9rgh30-aalto-energia-oyj-huoleton|bkzokt-keravan-energia-oy-biokvartaalisahko|gjhzfc-kokkolan-energia-oy-vuodenaika-uusiutuva|hgown7-keravan-energia-oy-kvartaalisahko|jyfo4s-keravan-energia-oy-kvartaalisahko-aika|kngjot-keravan-energia-oy-tuulikvartaalisahko|plbcxh-kokkolan-energia-oy-vuodenaika
2026-07-01,2026-06-30,quarterly,2000,new_member,,recurring_forward_curve_shift,,quarterly,,canonical_omitted_no_covering_source_observation,5,1eh6re-vaasan-sahko-myynti-oy-perussahko-yleissahko|bskkkf-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|dkeces-vaasan-sahko-myynti-oy-perussahko-yosahko|mchasn-vaasan-sahko-myynti-oy-tuulisahko-yosahko|zcosto-vaasan-sahko-myynti-oy-tuulisahko-yleissahko
2026-07-01,2026-06-30,quarterly,5000,lost_member,recurring_spot_seasonal_index,,quarterly,,missing_date_identity,,5,kwkidj-vaasan-sahko-myynti-oy-perussahko-yleissahko|p8rglg-vaasan-sahko-myynti-oy-tuulisahko-yosahko|wg5gfy-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|xisap5-vaasan-sahko-myynti-oy-tuulisahko-yleissahko|ygtb1w-vaasan-sahko-myynti-oy-perussahko-yosahko
2026-07-01,2026-06-30,quarterly,5000,method_changed,recurring_spot_seasonal_index,recurring_forward_curve_shift,quarterly,quarterly,,canonical_omitted_no_covering_source_observation,8,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko|9rgh30-aalto-energia-oyj-huoleton|bkzokt-keravan-energia-oy-biokvartaalisahko|gjhzfc-kokkolan-energia-oy-vuodenaika-uusiutuva|hgown7-keravan-energia-oy-kvartaalisahko|jyfo4s-keravan-energia-oy-kvartaalisahko-aika|kngjot-keravan-energia-oy-tuulikvartaalisahko|plbcxh-kokkolan-energia-oy-vuodenaika
2026-07-01,2026-06-30,quarterly,5000,new_member,,recurring_forward_curve_shift,,quarterly,,canonical_omitted_no_covering_source_observation,5,1eh6re-vaasan-sahko-myynti-oy-perussahko-yleissahko|bskkkf-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|dkeces-vaasan-sahko-myynti-oy-perussahko-yosahko|mchasn-vaasan-sahko-myynti-oy-tuulisahko-yosahko|zcosto-vaasan-sahko-myynti-oy-tuulisahko-yleissahko
2026-07-01,2026-06-30,quarterly,18000,lost_member,recurring_spot_seasonal_index,,quarterly,,missing_date_identity,,5,kwkidj-vaasan-sahko-myynti-oy-perussahko-yleissahko|p8rglg-vaasan-sahko-myynti-oy-tuulisahko-yosahko|wg5gfy-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|xisap5-vaasan-sahko-myynti-oy-tuulisahko-yleissahko|ygtb1w-vaasan-sahko-myynti-oy-perussahko-yosahko
2026-07-01,2026-06-30,quarterly,18000,method_changed,recurring_spot_seasonal_index,recurring_forward_curve_shift,quarterly,quarterly,,canonical_omitted_no_covering_source_observation,8,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko|9rgh30-aalto-energia-oyj-huoleton|bkzokt-keravan-energia-oy-biokvartaalisahko|gjhzfc-kokkolan-energia-oy-vuodenaika-uusiutuva|hgown7-keravan-energia-oy-kvartaalisahko|jyfo4s-keravan-energia-oy-kvartaalisahko-aika|kngjot-keravan-energia-oy-tuulikvartaalisahko|plbcxh-kokkolan-energia-oy-vuodenaika
2026-07-01,2026-06-30,quarterly,18000,new_member,,recurring_forward_curve_shift,,quarterly,,canonical_omitted_no_covering_source_observation,5,1eh6re-vaasan-sahko-myynti-oy-perussahko-yleissahko|bskkkf-vaasan-sahko-myynti-oy-toimitusvelvollinen-perussahko|dkeces-vaasan-sahko-myynti-oy-perussahko-yosahko|mchasn-vaasan-sahko-myynti-oy-tuulisahko-yosahko|zcosto-vaasan-sahko-myynti-oy-tuulisahko-yleissahko
2026-08-08,2026-08-07,open_ended,2000,new_member,,supplier_adjusted_forward_curve_shift,,open_ended,,,1,bcztkj-iin-energia-oy-yleissahko
2026-09-01,2026-08-31,open_ended,2000,lost_member,supplier_adjusted_forward_curve_shift,,open_ended,,missing_date_identity,,4,0kqx0h-seinajoen-energia-oy-se-oikea-yleissahko|icbxvy-vimpelin-voima-oy-sulaketariffi|m2jpwt-seinajoen-energia-oy-se-oikea-aikasahko|zv78kw-seinajoen-energia-oy-se-oikea-vuodenaikasahko
2026-09-01,2026-08-31,open_ended,2000,new_member,,supplier_adjusted_forward_curve_shift,,open_ended,,,3,qu8iem-seinajoen-energia-oy-se-oikea-aikasahko|rlqfli-seinajoen-energia-oy-se-oikea-yleissahko|rrjczl-seinajoen-energia-oy-se-oikea-vuodenaikasahko
2026-09-08,2026-09-07,open_ended,2000,lost_member,supplier_adjusted_forward_premium,,open_ended,,missing_date_identity,,1,qvnrc1-aanekosken-energia-oy-yleissahko
2026-09-08,2026-09-07,open_ended,2000,new_member,,supplier_adjusted_forward_curve_shift,,open_ended,,,2,r25sux-aanekosken-energia-oy-yleissahko|yzrni3-aanekosken-energia-oy-yleissahko
2026-09-08,2026-09-07,open_ended,5000,lost_member,supplier_adjusted_forward_premium,,open_ended,,missing_date_identity,,1,qvnrc1-aanekosken-energia-oy-yleissahko
2026-09-08,2026-09-07,open_ended,5000,new_member,,supplier_adjusted_forward_curve_shift,,open_ended,,,2,r25sux-aanekosken-energia-oy-yleissahko|yzrni3-aanekosken-energia-oy-yleissahko
2026-09-08,2026-09-07,open_ended,18000,lost_member,supplier_adjusted_forward_premium,,open_ended,,missing_date_identity,,1,qvnrc1-aanekosken-energia-oy-yleissahko
2026-09-08,2026-09-07,open_ended,18000,new_member,,supplier_adjusted_forward_curve_shift,,open_ended,,,2,r25sux-aanekosken-energia-oy-yleissahko|yzrni3-aanekosken-energia-oy-yleissahko
2026-09-10,2026-09-09,open_ended,2000,lost_member,supplier_adjusted_forward_curve_shift,,open_ended,,missing_date_identity,,3,ggpwbi-parikkalan-valo-oy-kesto-valo-kanta-asiakas|gxeryx-parikkalan-valo-oy-kesto-valo-kanta-asiakas|jrrlvh-parikkalan-valo-oy-kesto-valo-kanta-asiakas
2026-09-10,2026-09-09,open_ended,5000,lost_member,supplier_adjusted_forward_curve_shift,,open_ended,,missing_date_identity,,3,ggpwbi-parikkalan-valo-oy-kesto-valo-kanta-asiakas|gxeryx-parikkalan-valo-oy-kesto-valo-kanta-asiakas|jrrlvh-parikkalan-valo-oy-kesto-valo-kanta-asiakas
2026-09-10,2026-09-09,open_ended,18000,lost_member,supplier_adjusted_forward_curve_shift,,open_ended,,missing_date_identity,,3,ggpwbi-parikkalan-valo-oy-kesto-valo-kanta-asiakas|gxeryx-parikkalan-valo-oy-kesto-valo-kanta-asiakas|jrrlvh-parikkalan-valo-oy-kesto-valo-kanta-asiakas
