stage,table,scope,rows,sha256,protected,equal_to_source_before
source-before,contract_price_snapshots,all,78073,5ecdbc97a48f6a63c2614bd25b3018a08efd92afecae790235c6eb2343449705,True,True
source-before,price_components,all,248303,cb91a0fb768c6c0ec46c4354ce30aeecdb70c01fc4a01ae24f4a4ca9b97c2708,True,True
source-before,contract_source_snapshots,all,2787,8041cf0dbbebc09f052134ccb5ad5a800aed6b717029198b7888f6e54ec0064e,True,True
source-before,contract_source_observations,all,2787,f59fe2141bed09037ac5cf632178f2335ef199a0b5c54abd76b6be191cd18e75,True,True
source-before,contract_interpretations,all,4150,7722f3571a29b1e770242efda2d058e2e1f71d6761d5063eb7e0e09529c775c7,True,True
source-before,contract_historical_interpretation_episodes,all,6534,e00456565b86d29e25102176e24ae51560ec0528f9a62716d7795be473df59a9,True,True
source-before,contract_historical_interpretations,all,6534,31b19c2b24b9ad48ed47d4496bca4b5ddc49925ca713e9f62ad8b050581a8d32,True,True
source-before,contract_price_annual_costs,all,417721,ebf58ec98dd2de5eef66b19adb45b76e5b0a8ebf10e3143411bdfdabe456476b,False,True
source-before,contract_price_annual_costs,annual_cost_as_of_v1,196256,6faca5ab3320df373c39971c22592f9ae1b9870c0d5f6460c644a1725054535a,True,True
source-before,contract_price_annual_costs,annual_cost_as_of_v2,221465,aec5ca184c945f204c495a0dee5dd1b83f9afb806831491bc5a226f87f5ef14f,True,True
source-before,contract_price_daily_statistics,all,29604,52ce4413edfcee5bfe894021459fb8b5fb14bcd7b2f6422808fa7360d6808457,False,True
source-before,contract_price_daily_statistics,annual_cost_as_of_v1,6639,ca8d3caf65ba7f1d1b180fc0245060dee1774fcafeb051d07d40ee45fe14fa94,True,True
source-before,contract_price_daily_statistics,annual_cost_as_of_v2,7918,17457f9e243974fa47d6dd0c6762de8a77d7b23d1f39611555d68cd515958a8e,True,True
isolated-before,contract_price_snapshots,all,78073,5ecdbc97a48f6a63c2614bd25b3018a08efd92afecae790235c6eb2343449705,True,True
isolated-before,price_components,all,248303,cb91a0fb768c6c0ec46c4354ce30aeecdb70c01fc4a01ae24f4a4ca9b97c2708,True,True
isolated-before,contract_source_snapshots,all,2787,8041cf0dbbebc09f052134ccb5ad5a800aed6b717029198b7888f6e54ec0064e,True,True
