status,contract,kwh,v2_segment,v3_segment,pair_days,first_date,last_date,reasons
new,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,18000,,fixed_term_6,2,2026-07-21,2026-07-22,"{""null"": 2}"
new,mftk9v-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,2000,,fixed_term_6,28,2026-03-19,2026-04-15,"{""null"": 28}"
new,mftk9v-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,5000,,fixed_term_6,28,2026-03-19,2026-04-15,"{""null"": 28}"
new,mftk9v-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,18000,,fixed_term_6,28,2026-03-19,2026-04-15,"{""null"": 28}"
new,mozut8-vattenfall-oy-ilmasto-mix-6-kk,2000,,fixed_term_6,14,2026-07-09,2026-07-22,"{""null"": 14}"
new,mozut8-vattenfall-oy-ilmasto-mix-6-kk,5000,,fixed_term_6,14,2026-07-09,2026-07-22,"{""null"": 14}"
new,mozut8-vattenfall-oy-ilmasto-mix-6-kk,18000,,fixed_term_6,14,2026-07-09,2026-07-22,"{""null"": 14}"
new,n8eoka-vare-oy-maaraaikainen-sahko-6-kk,2000,,fixed_term_6,1,2026-01-28,2026-01-28,"{""null"": 1}"
new,n8eoka-vare-oy-maaraaikainen-sahko-6-kk,5000,,fixed_term_6,1,2026-01-28,2026-01-28,"{""null"": 1}"
new,n8eoka-vare-oy-maaraaikainen-sahko-6-kk,18000,,fixed_term_6,1,2026-01-28,2026-01-28,"{""null"": 1}"
new,nc3tau-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko,2000,,fixed_term_6,7,2026-05-06,2026-05-12,"{""null"": 7}"
new,nc3tau-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko,5000,,fixed_term_6,7,2026-05-06,2026-05-12,"{""null"": 7}"
new,nc3tau-vaasan-sahko-myynti-oy-kiintea-6-kk-yleissahko,18000,,fixed_term_6,7,2026-05-06,2026-05-12,"{""null"": 7}"
new,o1mqq7-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,2000,,fixed_term_6,8,2026-03-04,2026-03-11,"{""null"": 8}"
new,o1mqq7-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,5000,,fixed_term_6,8,2026-03-04,2026-03-11,"{""null"": 8}"
new,o1mqq7-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,18000,,fixed_term_6,8,2026-03-04,2026-03-11,"{""null"": 8}"
new,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2000,,fixed_term_6,1,2026-07-24,2026-07-24,"{""null"": 1}"
new,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,5000,,fixed_term_6,1,2026-07-24,2026-07-24,"{""null"": 1}"
new,okmsyk-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,18000,,fixed_term_6,1,2026-07-24,2026-07-24,"{""null"": 1}"
new,pz4fyp-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,2000,,fixed_term_6,7,2026-05-30,2026-06-05,"{""null"": 7}"
new,pz4fyp-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,5000,,fixed_term_6,7,2026-05-30,2026-06-05,"{""null"": 7}"
new,pz4fyp-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,18000,,fixed_term_6,7,2026-05-30,2026-06-05,"{""null"": 7}"
new,qfts8b-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu,2000,,fixed_term_6,2,2026-01-21,2026-01-22,"{""null"": 2}"
new,qfts8b-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu,5000,,fixed_term_6,2,2026-01-21,2026-01-22,"{""null"": 2}"
new,qfts8b-porvoon-energia-oy-ilmastoviisas-6-kk-co2-paastottomasti-tuotettu,18000,,fixed_term_6,2,2026-01-21,2026-01-22,"{""null"": 2}"
new,qkzfpq-hehku-energia-oy-hehku-kiintea-6-kk,2000,,fixed_term_6,7,2026-01-21,2026-01-27,"{""null"": 7}"
new,qkzfpq-hehku-energia-oy-hehku-kiintea-6-kk,5000,,fixed_term_6,7,2026-01-21,2026-01-27,"{""null"": 7}"
new,qkzfpq-hehku-energia-oy-hehku-kiintea-6-kk,18000,,fixed_term_6,7,2026-01-21,2026-01-27,"{""null"": 7}"
new,saedvj-vattenfall-oy-ilmasto-mix-6-kk,2000,,fixed_term_6,5,2026-02-04,2026-02-08,"{""null"": 5}"
new,saedvj-vattenfall-oy-ilmasto-mix-6-kk,5000,,fixed_term_6,5,2026-02-04,2026-02-08,"{""null"": 5}"
new,saedvj-vattenfall-oy-ilmasto-mix-6-kk,18000,,fixed_term_6,5,2026-02-04,2026-02-08,"{""null"": 5}"
new,tw1gnn-vare-oy-maaraaikainen-sahko-6-kk,2000,,fixed_term_6,7,2026-02-04,2026-02-10,"{""null"": 7}"
new,tw1gnn-vare-oy-maaraaikainen-sahko-6-kk,5000,,fixed_term_6,7,2026-02-04,2026-02-10,"{""null"": 7}"
new,tw1gnn-vare-oy-maaraaikainen-sahko-6-kk,18000,,fixed_term_6,7,2026-02-04,2026-02-10,"{""null"": 7}"
new,upsl6p-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,2000,,fixed_term_6,1,2026-03-11,2026-03-11,"{""null"": 1}"
new,upsl6p-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,5000,,fixed_term_6,1,2026-03-11,2026-03-11,"{""null"": 1}"
new,upsl6p-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,18000,,fixed_term_6,1,2026-03-11,2026-03-11,"{""null"": 1}"
new,v5ej4k-helen-oy-maaraaikainen-perussahko-6-kk,2000,,fixed_term_6,7,2026-02-03,2026-02-09,"{""null"": 7}"
new,v5ej4k-helen-oy-maaraaikainen-perussahko-6-kk,5000,,fixed_term_6,7,2026-02-03,2026-02-09,"{""null"": 7}"
new,v5ej4k-helen-oy-maaraaikainen-perussahko-6-kk,18000,,fixed_term_6,7,2026-02-03,2026-02-09,"{""null"": 7}"
new,vvklfh-hehku-energia-oy-hehku-kiintea-6-kk,2000,,fixed_term_6,3,2026-05-08,2026-05-10,"{""null"": 3}"
new,vvklfh-hehku-energia-oy-hehku-kiintea-6-kk,5000,,fixed_term_6,3,2026-05-08,2026-05-10,"{""null"": 3}"
new,vvklfh-hehku-energia-oy-hehku-kiintea-6-kk,18000,,fixed_term_6,3,2026-05-08,2026-05-10,"{""null"": 3}"
new,wbgjpw-imatran-seudun-sahko-oy-voima-6-kk,2000,,fixed_term_6,13,2026-03-20,2026-04-01,"{""null"": 13}"
new,wbgjpw-imatran-seudun-sahko-oy-voima-6-kk,5000,,fixed_term_6,13,2026-03-20,2026-04-01,"{""null"": 13}"
new,wbgjpw-imatran-seudun-sahko-oy-voima-6-kk,18000,,fixed_term_6,13,2026-03-20,2026-04-01,"{""null"": 13}"
new,wktbhy-vattenfall-oy-ilmasto-mix-6-kk,2000,,fixed_term_6,21,2026-06-10,2026-06-30,"{""null"": 21}"
new,wktbhy-vattenfall-oy-ilmasto-mix-6-kk,5000,,fixed_term_6,21,2026-06-10,2026-06-30,"{""null"": 21}"
new,wktbhy-vattenfall-oy-ilmasto-mix-6-kk,18000,,fixed_term_6,21,2026-06-10,2026-06-30,"{""null"": 21}"
new,wyd6q2-vattenfall-oy-ilmasto-mix-6-kk,2000,,fixed_term_6,9,2026-02-26,2026-03-06,"{""null"": 9}"
new,wyd6q2-vattenfall-oy-ilmasto-mix-6-kk,5000,,fixed_term_6,9,2026-02-26,2026-03-06,"{""null"": 9}"
new,wyd6q2-vattenfall-oy-ilmasto-mix-6-kk,18000,,fixed_term_6,9,2026-02-26,2026-03-06,"{""null"": 9}"
new,xu1ssb-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,2000,,fixed_term_6,3,2026-03-28,2026-03-30,"{""null"": 3}"
new,xu1ssb-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,5000,,fixed_term_6,3,2026-03-28,2026-03-30,"{""null"": 3}"
new,xu1ssb-lumme-energia-vuosisahko-6-kk-hinta-joka-ei-heilu,18000,,fixed_term_6,3,2026-03-28,2026-03-30,"{""null"": 3}"
