guard_or_reason,pair_days,contracts,dates,first_date,last_date,contract_ids
ambiguous_energy_mechanisms,12,2,4,2026-09-09,2026-09-16,bdfd4u-keravan-energia-oy-perusfiksu-24kk|w4k6um-keravan-energia-oy-perusfiksu-24kk
canonical_omitted_ambiguous_covering_source_snapshots,3,1,1,2026-09-14,2026-09-14,kvwny9-vihrea-alyenergia-oy-vire-tuuli-porssisahko-tarjous-ensimmaiset-12-kk
historical_temporal_source_validation_unavailable,703,7,58,2026-07-25,2026-09-20,0uohci-vihrea-alyenergia-oy-opiskelijan-verraton-porssisahko|1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko|6e4ly6-kokkolan-energia-oy-tyyni|djobdk-vihrea-alyenergia-oy-vire-tuuli-opiskelija|kvwny9-vihrea-alyenergia-oy-vire-tuuli-porssisahko-tarjous-ensimmaiset-12-kk|osszso-aalto-energia-oyj-luotsi-porssisahko-tarjous-perusmaksu-099-ensimmaiset-12kk|xlclt2-sahkotytot-oy-porssisahko-tarjous-ilmainen-perusmaksu-ensimmaiset-3kk
insufficient_promotion_terms,156,5,51,2026-07-23,2026-09-16,h191sf-hehku-energia-oy-hehku-jatkuva|h8icyg-hehku-energia-oy-hehku-jatkuva|iq7fja-vimpelin-voima-oy-vuodenaikatariffi|sk027a-hehku-energia-oy-hehku-jatkuva|xam9ev-hehku-energia-oy-hehku-jatkuva
selected_source_incomplete_package,13,5,1,2026-07-23,2026-07-23,8lw2cg-turku-energia-oy-louna-helppo-l|dgh71e-turku-energia-oy-louna-helppo-m|kw0pi8-turku-energia-oy-louna-helppo-xs|x5t18z-helen-oy-helpposahko-m|ztawud-turku-energia-oy-louna-helppo-s
selected_source_structured_conflict,18,2,5,2026-07-23,2026-07-27,35idqf-vattenfall-oy-taysvesi-24-kk|3bdzoe-paneliankosken-voima-oy-kosken-kayttowoima-12-kk-kulutusjousto
unknown_short_fixed_term_duration,664,12,159,2026-01-21,2026-07-14,096kvt-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk-perusmaksu-0-koko-sopimuskauden-ajan|0flemf-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa|0xadsb-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa|6txgrh-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk|fddbph-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa|ggkvce-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa|lw9yb0-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa|mxa020-aalto-energia-oyj-ankkuri-kiintea-9kk|padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa|rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa|whniel-vihrea-alyenergia-oy-vankka-kiintea-3kk-fossiilivapaa|ychtcj-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa
