date,exit,seconds,peak_bytes,adapter_sha256_start,adapter_sha256_end,started_utc,ended_utc
2026-07-22,0,20.236654043197632,131055616,07027acce167015e70137b5e19334936b3871aa06524143e64dac360edc9cdc1,07027acce167015e70137b5e19334936b3871aa06524143e64dac360edc9cdc1,2026-09-21T09:25:13+00:00,2026-09-21T09:25:34+00:00
2026-07-23,0,18.21232295036316,124321792,07027acce167015e70137b5e19334936b3871aa06524143e64dac360edc9cdc1,07027acce167015e70137b5e19334936b3871aa06524143e64dac360edc9cdc1,2026-09-21T09:25:34+00:00,2026-09-21T09:25:52+00:00
2026-07-24,0,21.62123680114746,134905856,07027acce167015e70137b5e19334936b3871aa06524143e64dac360edc9cdc1,07027acce167015e70137b5e19334936b3871aa06524143e64dac360edc9cdc1,2026-09-21T09:25:52+00:00,2026-09-21T09:26:14+00:00
