target,path,before_sha256,after_sha256,unchanged
active_local,/Users/seppo/code/voltikka/laravel/database/database.sqlite,101ac73df9f86a7c9f452d36a5c249999d72c9652b6dd46706fc67282644d387,101ac73df9f86a7c9f452d36a5c249999d72c9652b6dd46706fc67282644d387,True
preview_copy,/tmp/annual-v3-repaired-preview/snapshot.sqlite,a9cb5459af3ec66b37b1bcbc39421d04fd703e5fedb85d83652ae31aa7479c6f,a9cb5459af3ec66b37b1bcbc39421d04fd703e5fedb85d83652ae31aa7479c6f,True
