status,v2_segment,v3_segment,kwh,v2_method,v3_method,v2_basis,v3_basis,reason,pair_days,unique_contracts,date_count,first_date,last_date,min_delta,max_delta
changed,open_ended,open_ended,18000,recurring_forward_curve_shift,recurring_spot_seasonal_index,canonical_outcome,canonical_outcome,,344,18,22,2026-04-09,2026-04-30,10.26718114863479,1166.6579465503155
changed,open_ended,open_ended,18000,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,44,7,9,2026-09-12,2026-09-20,-1039.3620875000006,733.8606000000004
changed,open_ended,open_ended,18000,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,4,1,4,2026-09-17,2026-09-20,-177.56772249999995,-176.04131000000007
changed,open_ended,open_ended,18000,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,8,2,4,2026-09-17,2026-09-20,81.3290750000001,1010.4544999999998
changed,open_ended,open_ended,18000,supplier_adjusted_forward_premium,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,68,17,4,2026-09-17,2026-09-20,-347.1451875000007,309.00986250000005
changed,open_ended,open_ended,18000,supplier_adjusted_spot_seasonal_index,none,canonical_outcome,observed_relational_components,,3,3,1,2026-09-14,2026-09-14,606.9262000000003,659.6346000000003
changed,open_ended,open_ended,18000,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,12,3,4,2026-09-12,2026-09-16,753.4371500000004,1874.78937
changed,open_ended,open_ended,18000,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,85,17,5,2026-09-12,2026-09-16,-974.4505225000003,1729.60748875
changed,open_ended,open_ended,2000,hold_current_supplier_price,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,1705,31,142,2026-04-23,2026-09-11,-22.608825000000024,138.9319861111111
changed,open_ended,open_ended,2000,hold_current_supplier_price,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,3265,31,141,2026-04-23,2026-09-11,-326.48270888888885,135.9577770833332
changed,open_ended,open_ended,2000,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,,3613,56,99,2026-01-21,2026-04-30,-224.63618302134387,31.201494769907697
changed,open_ended,open_ended,2000,none,none,canonical_outcome,canonical_outcome,,16,4,4,2026-07-24,2026-07-27,-332,-149.39999999999998
changed,open_ended,open_ended,2000,none,none,observed_relational_components,canonical_outcome,,5,5,1,2026-07-23,2026-07-23,-5.684341886080802e-14,0
changed,open_ended,open_ended,2000,none,recurring_forward_curve_shift,observed_relational_components,canonical_outcome,,7,7,1,2026-07-23,2026-07-23,49.64695658602139,94.81153897849464
changed,open_ended,open_ended,2000,none,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,76,3,76,2026-05-08,2026-07-22,4.074148333333312,106.8521844086022
changed,open_ended,open_ended,2000,none,supplier_adjusted_forward_curve_shift,observed_relational_components,canonical_outcome,,13,13,1,2026-07-23,2026-07-23,41.833738172042956,122.02297526881722
changed,open_ended,open_ended,2000,none,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,163,3,147,2026-04-23,2026-09-16,-102.3225183333333,93.65503611111109
changed,open_ended,open_ended,2000,none,supplier_adjusted_forward_premium,observed_relational_components,canonical_outcome,,20,20,1,2026-07-23,2026-07-23,-274.34453118279566,52.97839926075267
changed,open_ended,open_ended,2000,none,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,,122,4,88,2026-01-21,2026-04-22,-95.21246271585926,-11.506037224547896
changed,open_ended,open_ended,2000,recurring_forward_curve_shift,none,canonical_outcome,observed_relational_components,,3,2,3,2026-07-23,2026-08-01,-107.832,-85.7458
changed,open_ended,open_ended,2000,recurring_forward_curve_shift,recurring_forward_curve_shift,canonical_outcome,canonical_outcome,,1,1,1,2026-07-23,2026-07-23,-5.949961021505487,-5.949961021505487
