cohort,model,id,rounding_difference,saved_category,numeric_category,disagreement
matched48,v3,2026-08-06|24|median,0.0000,flat,flat,False
matched48,v3,2026-08-06|6|median,0.0000,flat,flat,False
matched48,v3,2026-08-07|12|median,0.0000,flat,flat,False
matched48,v3,2026-08-07|24|median,0.000,flat,flat,False
matched48,v3,2026-08-07|6|median,0.0000,flat,flat,False
matched48,v3,2026-08-08|12|median,0.0000,flat,flat,False
matched48,v3,2026-08-08|24|median,0.0000,flat,flat,False
matched48,v3,2026-08-08|6|median,0.0000,down,down,False
matched48,v3,2026-08-09|12|median,0.0000,flat,flat,False
matched48,v3,2026-08-09|24|median,0.0000,flat,flat,False
matched48,v3,2026-08-09|6|median,0.0000,down,down,False
matched48,v3,2026-08-10|12|median,0.0000,flat,flat,False
matched48,v3,2026-08-10|24|median,0.0000,flat,flat,False
matched48,v3,2026-08-10|6|median,0.0000,flat,flat,False
matched48,v3,2026-08-11|12|median,0.0000,flat,flat,False
matched48,v3,2026-08-11|24|median,0.0000,flat,flat,False
matched48,v3,2026-08-11|6|median,0.0000,flat,flat,False
matched48,v3,2026-08-12|12|median,0.0000,flat,flat,False
matched48,v3,2026-08-12|24|median,0.0000,flat,flat,False
matched48,v3,2026-08-12|6|median,0.0000,flat,flat,False
matched48,v3,2026-08-13|12|median,0.0000,flat,flat,False
matched48,v3,2026-08-13|24|median,0.0000,flat,flat,False
matched48,v3,2026-08-13|6|median,0.0000,flat,flat,False
matched48,v3,2026-08-14|12|median,0.000,flat,flat,False
matched48,v3,2026-08-14|24|median,0.0000,flat,flat,False
matched48,v3,2026-08-14|6|median,0.0000,flat,flat,False
