cohort,model,term,threshold,n,issue_days,first_issue,last_issue,correct,correct_rate,missed_move,missed_move_rate,false_move,false_move_rate,wrong_way,wrong_way_rate,actual_down,down__down,down__flat,down__up,down_recall_numerator,down_recall_denominator,down_recall,down_precision_numerator,down_precision_denominator,down_precision,actual_flat,flat__down,flat__flat,flat__up,flat_recall_numerator,flat_recall_denominator,flat_recall,flat_precision_numerator,flat_precision_denominator,flat_precision,actual_up,up__down,up__flat,up__up,up_recall_numerator,up_recall_denominator,up_recall,up_precision_numerator,up_precision_denominator,up_precision,balanced_accuracy
full57,v3,6,0.15,19,19,2026-07-27,2026-08-14,3,0.15789473684210525,14,0.7368421052631579,0,0.0,2,0.10526315789473684,0,0,0,0,0,0,,0,2,0.0,0,0,0,0,0,0,,0,14,0.0,19,2,14,3,3,19,0.15789473684210525,3,3,1.0,
full57,v3,6,0.10,19,19,2026-07-27,2026-08-14,3,0.15789473684210525,11,0.5789473684210527,0,0.0,5,0.2631578947368421,0,0,0,0,0,0,,0,5,0.0,0,0,0,0,0,0,,0,11,0.0,19,5,11,3,3,19,0.15789473684210525,3,3,1.0,
full57,v3,6,0.05,19,19,2026-07-27,2026-08-14,4,0.21052631578947367,5,0.2631578947368421,0,0.0,10,0.5263157894736842,0,0,0,0,0,0,,0,10,0.0,0,0,0,0,0,0,,0,5,0.0,19,10,5,4,4,19,0.21052631578947367,4,4,1.0,
full57,v3,all,0.15,57,19,2026-07-27,2026-08-14,16,0.2807017543859649,39,0.6842105263157895,0,0.0,2,0.03508771929824561,0,0,0,0,0,0,,0,2,0.0,13,0,13,0,13,13,1.0,13,52,0.25,44,2,39,3,3,44,0.06818181818181818,3,3,1.0,
full57,v3,all,0.10,57,19,2026-07-27,2026-08-14,13,0.22807017543859648,35,0.6140350877192983,3,0.05263157894736842,6,0.10526315789473684,0,0,0,0,0,0,,0,9,0.0,13,3,10,0,10,13,0.7692307692307693,10,45,0.2222222222222222,44,6,35,3,3,44,0.06818181818181818,3,3,1.0,
full57,v3,all,0.05,57,19,2026-07-27,2026-08-14,12,0.21052631578947367,22,0.38596491228070173,5,0.08771929824561403,18,0.3157894736842105,0,0,0,0,0,0,,0,23,0.0,13,5,8,0,8,13,0.6153846153846154,8,30,0.26666666666666666,44,18,22,4,4,44,0.09090909090909091,4,4,1.0,
matched48,unchanged,12,0.15,16,16,2026-07-27,2026-08-14,3,0.1875,13,0.8125,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,3,0,3,0,3,3,1.0,3,16,0.1875,13,0,13,0,0,13,0.0,0,0,,
matched48,unchanged,12,0.10,16,16,2026-07-27,2026-08-14,3,0.1875,13,0.8125,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,3,0,3,0,3,3,1.0,3,16,0.1875,13,0,13,0,0,13,0.0,0,0,,
matched48,unchanged,12,0.05,16,16,2026-07-27,2026-08-14,3,0.1875,13,0.8125,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,3,0,3,0,3,3,1.0,3,16,0.1875,13,0,13,0,0,13,0.0,0,0,,
matched48,unchanged,24,0.15,16,16,2026-07-27,2026-08-14,9,0.5625,7,0.4375,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,9,0,9,0,9,9,1.0,9,16,0.5625,7,0,7,0,0,7,0.0,0,0,,
matched48,unchanged,24,0.10,16,16,2026-07-27,2026-08-14,9,0.5625,7,0.4375,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,9,0,9,0,9,9,1.0,9,16,0.5625,7,0,7,0,0,7,0.0,0,0,,
matched48,unchanged,24,0.05,16,16,2026-07-27,2026-08-14,9,0.5625,7,0.4375,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,9,0,9,0,9,9,1.0,9,16,0.5625,7,0,7,0,0,7,0.0,0,0,,
matched48,unchanged,6,0.15,16,16,2026-07-27,2026-08-14,0,0.0,16,1.0,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,16,0.0,16,0,16,0,0,16,0.0,0,0,,
matched48,unchanged,6,0.10,16,16,2026-07-27,2026-08-14,0,0.0,16,1.0,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,16,0.0,16,0,16,0,0,16,0.0,0,0,,
matched48,unchanged,6,0.05,16,16,2026-07-27,2026-08-14,0,0.0,16,1.0,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,16,0.0,16,0,16,0,0,16,0.0,0,0,,
matched48,unchanged,all,0.15,48,16,2026-07-27,2026-08-14,12,0.25,36,0.75,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,12,0,12,0,12,12,1.0,12,48,0.25,36,0,36,0,0,36,0.0,0,0,,
matched48,unchanged,all,0.10,48,16,2026-07-27,2026-08-14,12,0.25,36,0.75,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,12,0,12,0,12,12,1.0,12,48,0.25,36,0,36,0,0,36,0.0,0,0,,
matched48,unchanged,all,0.05,48,16,2026-07-27,2026-08-14,12,0.25,36,0.75,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,12,0,12,0,12,12,1.0,12,48,0.25,36,0,36,0,0,36,0.0,0,0,,
matched48,v2,12,0.15,16,16,2026-07-27,2026-08-14,0,0.0,7,0.4375,3,0.1875,6,0.375,0,0,0,0,0,0,,0,9,0.0,3,3,0,0,0,3,0.0,0,7,0.0,13,6,7,0,0,13,0.0,0,0,,
matched48,v2,12,0.10,16,16,2026-07-27,2026-08-14,0,0.0,6,0.375,3,0.1875,7,0.4375,0,0,0,0,0,0,,0,10,0.0,3,3,0,0,0,3,0.0,0,6,0.0,13,7,6,0,0,13,0.0,0,0,,
matched48,v2,12,0.05,16,16,2026-07-27,2026-08-14,0,0.0,2,0.125,3,0.1875,11,0.6875,0,0,0,0,0,0,,0,14,0.0,3,3,0,0,0,3,0.0,0,2,0.0,13,11,2,0,0,13,0.0,0,0,,
matched48,v2,24,0.15,16,16,2026-07-27,2026-08-14,9,0.5625,7,0.4375,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,9,0,9,0,9,9,1.0,9,16,0.5625,7,0,7,0,0,7,0.0,0,0,,
matched48,v2,24,0.10,16,16,2026-07-27,2026-08-14,3,0.1875,5,0.3125,6,0.375,2,0.125,0,0,0,0,0,0,,0,8,0.0,9,6,3,0,3,9,0.3333333333333333,3,8,0.375,7,2,5,0,0,7,0.0,0,0,,
matched48,v2,24,0.05,16,16,2026-07-27,2026-08-14,1,0.0625,1,0.0625,8,0.5,6,0.375,0,0,0,0,0,0,,0,14,0.0,9,8,1,0,1,9,0.1111111111111111,1,2,0.5,7,6,1,0,0,7,0.0,0,0,,
matched48,v2,6,0.15,16,16,2026-07-27,2026-08-14,2,0.125,14,0.875,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,14,0.0,16,0,14,2,2,16,0.125,2,2,1.0,
matched48,v2,6,0.10,16,16,2026-07-27,2026-08-14,2,0.125,9,0.5625,0,0.0,5,0.3125,0,0,0,0,0,0,,0,5,0.0,0,0,0,0,0,0,,0,9,0.0,16,5,9,2,2,16,0.125,2,2,1.0,
matched48,v2,6,0.05,16,16,2026-07-27,2026-08-14,4,0.25,2,0.125,0,0.0,10,0.625,0,0,0,0,0,0,,0,10,0.0,0,0,0,0,0,0,,0,2,0.0,16,10,2,4,4,16,0.25,4,4,1.0,
matched48,v2,all,0.15,48,16,2026-07-27,2026-08-14,11,0.22916666666666666,28,0.5833333333333334,3,0.0625,6,0.125,0,0,0,0,0,0,,0,9,0.0,12,3,9,0,9,12,0.75,9,37,0.24324324324324326,36,6,28,2,2,36,0.05555555555555555,2,2,1.0,
matched48,v2,all,0.10,48,16,2026-07-27,2026-08-14,5,0.10416666666666667,20,0.4166666666666667,9,0.1875,14,0.2916666666666667,0,0,0,0,0,0,,0,23,0.0,12,9,3,0,3,12,0.25,3,23,0.13043478260869565,36,14,20,2,2,36,0.05555555555555555,2,2,1.0,
matched48,v2,all,0.05,48,16,2026-07-27,2026-08-14,5,0.10416666666666667,5,0.10416666666666667,11,0.22916666666666666,27,0.5625,0,0,0,0,0,0,,0,38,0.0,12,11,1,0,1,12,0.08333333333333333,1,6,0.16666666666666666,36,27,5,4,4,36,0.1111111111111111,4,4,1.0,
matched48,v3,12,0.15,16,16,2026-07-27,2026-08-14,3,0.1875,13,0.8125,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,3,0,3,0,3,3,1.0,3,16,0.1875,13,0,13,0,0,13,0.0,0,0,,
matched48,v3,12,0.10,16,16,2026-07-27,2026-08-14,1,0.0625,12,0.75,2,0.125,1,0.0625,0,0,0,0,0,0,,0,3,0.0,3,2,1,0,1,3,0.3333333333333333,1,13,0.07692307692307693,13,1,12,0,0,13,0.0,0,0,,
matched48,v3,12,0.05,16,16,2026-07-27,2026-08-14,0,0.0,7,0.4375,3,0.1875,6,0.375,0,0,0,0,0,0,,0,9,0.0,3,3,0,0,0,3,0.0,0,7,0.0,13,6,7,0,0,13,0.0,0,0,,
matched48,v3,24,0.15,16,16,2026-07-27,2026-08-14,9,0.5625,7,0.4375,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,9,0,9,0,9,9,1.0,9,16,0.5625,7,0,7,0,0,7,0.0,0,0,,
matched48,v3,24,0.10,16,16,2026-07-27,2026-08-14,8,0.5,7,0.4375,1,0.0625,0,0.0,0,0,0,0,0,0,,0,1,0.0,9,1,8,0,8,9,0.8888888888888888,8,15,0.5333333333333333,7,0,7,0,0,7,0.0,0,0,,
matched48,v3,24,0.05,16,16,2026-07-27,2026-08-14,7,0.4375,6,0.375,2,0.125,1,0.0625,0,0,0,0,0,0,,0,3,0.0,9,2,7,0,7,9,0.7777777777777778,7,13,0.5384615384615384,7,1,6,0,0,7,0.0,0,0,,
matched48,v3,6,0.15,16,16,2026-07-27,2026-08-14,1,0.0625,13,0.8125,0,0.0,2,0.125,0,0,0,0,0,0,,0,2,0.0,0,0,0,0,0,0,,0,13,0.0,16,2,13,1,1,16,0.0625,1,1,1.0,
matched48,v3,6,0.10,16,16,2026-07-27,2026-08-14,1,0.0625,10,0.625,0,0.0,5,0.3125,0,0,0,0,0,0,,0,5,0.0,0,0,0,0,0,0,,0,10,0.0,16,5,10,1,1,16,0.0625,1,1,1.0,
matched48,v3,6,0.05,16,16,2026-07-27,2026-08-14,1,0.0625,5,0.3125,0,0.0,10,0.625,0,0,0,0,0,0,,0,10,0.0,0,0,0,0,0,0,,0,5,0.0,16,10,5,1,1,16,0.0625,1,1,1.0,
matched48,v3,all,0.15,48,16,2026-07-27,2026-08-14,13,0.2708333333333333,33,0.6875,0,0.0,2,0.041666666666666664,0,0,0,0,0,0,,0,2,0.0,12,0,12,0,12,12,1.0,12,45,0.26666666666666666,36,2,33,1,1,36,0.027777777777777776,1,1,1.0,
matched48,v3,all,0.10,48,16,2026-07-27,2026-08-14,10,0.20833333333333334,29,0.6041666666666666,3,0.0625,6,0.125,0,0,0,0,0,0,,0,9,0.0,12,3,9,0,9,12,0.75,9,38,0.23684210526315788,36,6,29,1,1,36,0.027777777777777776,1,1,1.0,
matched48,v3,all,0.05,48,16,2026-07-27,2026-08-14,8,0.16666666666666666,18,0.375,5,0.10416666666666667,17,0.3541666666666667,0,0,0,0,0,0,,0,22,0.0,12,5,7,0,7,12,0.5833333333333334,7,25,0.28,36,17,18,1,1,36,0.027777777777777776,1,1,1.0,
older57,always_down,12,0.15,19,19,2026-06-08,2026-06-26,2,0.10526315789473684,0,0.0,8,0.42105263157894735,9,0.47368421052631576,2,2,0,0,2,2,1.0,2,19,0.10526315789473684,8,8,0,0,0,8,0.0,0,0,,9,9,0,0,0,9,0.0,0,0,,0.3333333333333333
older57,always_down,12,0.10,19,19,2026-06-08,2026-06-26,2,0.10526315789473684,0,0.0,8,0.42105263157894735,9,0.47368421052631576,2,2,0,0,2,2,1.0,2,19,0.10526315789473684,8,8,0,0,0,8,0.0,0,0,,9,9,0,0,0,9,0.0,0,0,,0.3333333333333333
older57,always_down,12,0.05,19,19,2026-06-08,2026-06-26,2,0.10526315789473684,0,0.0,8,0.42105263157894735,9,0.47368421052631576,2,2,0,0,2,2,1.0,2,19,0.10526315789473684,8,8,0,0,0,8,0.0,0,0,,9,9,0,0,0,9,0.0,0,0,,0.3333333333333333
older57,always_down,24,0.15,19,19,2026-06-08,2026-06-26,0,0.0,0,0.0,8,0.42105263157894735,11,0.5789473684210527,0,0,0,0,0,0,,0,19,0.0,8,8,0,0,0,8,0.0,0,0,,11,11,0,0,0,11,0.0,0,0,,
older57,always_down,24,0.10,19,19,2026-06-08,2026-06-26,0,0.0,0,0.0,8,0.42105263157894735,11,0.5789473684210527,0,0,0,0,0,0,,0,19,0.0,8,8,0,0,0,8,0.0,0,0,,11,11,0,0,0,11,0.0,0,0,,
older57,always_down,24,0.05,19,19,2026-06-08,2026-06-26,0,0.0,0,0.0,8,0.42105263157894735,11,0.5789473684210527,0,0,0,0,0,0,,0,19,0.0,8,8,0,0,0,8,0.0,0,0,,11,11,0,0,0,11,0.0,0,0,,
