cohort,model,term,threshold,n,rescued_misses,new_false_moves,new_wrong_ways,correct_lost,correct__correct,correct__missed_move,correct__false_move,correct__wrong_way,missed_move__correct,missed_move__missed_move,missed_move__false_move,missed_move__wrong_way,false_move__correct,false_move__missed_move,false_move__false_move,false_move__wrong_way,wrong_way__correct,wrong_way__missed_move,wrong_way__false_move,wrong_way__wrong_way,prediction_down__down,prediction_down__flat,prediction_down__up,prediction_flat__down,prediction_flat__flat,prediction_flat__up,prediction_up__down,prediction_up__flat,prediction_up__up
secondary84,intercept,6,0.10,28,0,0,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28
secondary84,intercept,6,0.05,28,0,0,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28
secondary84,intercept,all,0.10,84,0,0,0,0,38,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,84
secondary84,intercept,all,0.05,84,0,0,0,0,38,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,84
secondary84,retail,12,0.10,28,0,0,0,0,9,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,28
secondary84,retail,12,0.05,28,0,0,0,0,9,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,28
secondary84,retail,24,0.10,28,0,0,0,0,6,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,28
secondary84,retail,24,0.05,28,0,0,0,0,6,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,28
secondary84,retail,6,0.10,28,0,0,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28
secondary84,retail,6,0.05,28,0,0,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28
secondary84,retail,all,0.10,84,0,0,0,0,38,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,84
secondary84,retail,all,0.05,84,0,0,0,0,38,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,84
secondary84,rolling,12,0.10,28,0,0,0,0,9,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,28
secondary84,rolling,12,0.05,28,0,0,0,0,9,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,28
secondary84,rolling,24,0.10,28,0,0,0,0,6,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,28
secondary84,rolling,24,0.05,28,0,0,0,0,6,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,28
secondary84,rolling,6,0.10,28,3,0,0,0,17,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,22
secondary84,rolling,6,0.05,28,6,0,0,0,17,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,22
secondary84,rolling,all,0.10,84,3,0,0,0,32,0,0,0,3,3,0,0,0,0,45,0,0,0,0,1,0,0,0,0,3,3,0,0,78
secondary84,rolling,all,0.05,84,6,0,0,0,32,0,0,0,6,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,6,0,0,78
secondary84,unchanged,12,0.10,28,0,0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
secondary84,unchanged,12,0.05,28,0,0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
secondary84,unchanged,24,0.10,28,0,0,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
secondary84,unchanged,24,0.05,28,0,0,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
secondary84,unchanged,6,0.10,28,0,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
secondary84,unchanged,6,0.05,28,0,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
secondary84,unchanged,all,0.10,84,0,0,0,0,45,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0
secondary84,unchanged,all,0.05,84,0,0,0,0,45,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0
