company,term,n,supplier_mae,unchanged_mae,pooled_mae,improvement_vs_unchanged,improvement_pct_vs_unchanged,improvement_vs_pooled,improvement_pct_vs_pooled,attempted_n,exact_date_pair_n,excluded_n,exclusions,first_date,latest_date,daily_n,unique_levels,median_changes,history_min,history_max,history_unique_levels_min,history_unique_levels_max,history_changes_min,history_changes_max
Oomi Oy,24,18,0.18034452480998572,0.18444444444444474,0.19456902169888857,0.0040999196344590205,2.2228479945862123,0.014224496888902843,7.3107716555806155,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,157,11,18,108,125,7,9,13,15
Paneliankosken Voima Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19, ""supplier_history_below_10"": 19}",,,0,0,0,,,,,,
Paneliankosken Voima Oy,12,17,0.7723714510242039,0.7058823529411762,0.7585032666586827,-0.06648909808302772,-9.419288895095598,-0.013868184365521175,-1.828361850913648,19,17,2,"{""no_exact_current"": 2}",2026-04-08,2026-09-13,156,6,5,109,125,4,5,3,4
Paneliankosken Voima Oy,24,18,0.6997060441356144,0.6749999999999995,0.6961737532265159,-0.024706044135614946,-3.660154686757773,-0.0035322909090985677,-0.5073863949520742,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,157,7,6,109,126,5,6,4,5
Pohjois-Karjalan Sähkö Oy,6,19,1.757395962862152,1.6634210526315794,1.688438235119053,-0.0939749102305727,-5.649496264454615,-0.06895772774309905,-4.08411313536955,19,19,0,{},2026-04-08,2026-09-13,159,6,5,109,127,4,6,3,5
Pohjois-Karjalan Sähkö Oy,12,19,0.22652135038413404,0.1405263157894735,0.19374440773972645,-0.08599503459466054,-61.19496843814804,-0.032776942644407586,-16.917619985418973,19,19,0,{},2026-04-08,2026-09-13,159,5,4,109,127,4,5,3,4
Pohjois-Karjalan Sähkö Oy,24,19,0.020228991984153236,0.0,0.03239330919622066,-0.020228991984153236,,0.012164317212067424,37.55194363867783,19,19,0,{},2026-04-08,2026-09-13,159,4,3,109,127,4,4,3,3
Porvoon Energia Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19}",2026-04-08,2026-06-16,70,4,3,,,,,,
Porvoon Energia Oy,12,19,0.3281210774950769,0.2894736842105267,0.34155192218401337,-0.03864739328455019,-13.35091768011732,0.01343084468893646,3.932299547036513,19,19,0,{},2026-04-08,2026-09-13,159,12,13,109,127,9,10,10,11
Porvoon Energia Oy,24,19,0.21713563534028965,0.19473684210526332,0.2251231996722236,-0.022398793235026332,-11.50208301258108,0.007987564331933955,3.5480858230354504,19,19,0,{},2026-04-08,2026-09-13,159,10,11,109,127,7,7,8,8
Sähkötytöt Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19}",2026-04-08,2026-05-19,42,1,0,,,,,,
Sähkötytöt Oy,12,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19}",2026-04-08,2026-06-02,56,1,0,,,,,,
Sähkötytöt Oy,24,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19}",2026-04-08,2026-05-28,51,1,0,,,,,,
Turku Energia Oy,6,18,0.6364356401077544,0.6216666666666673,0.6438524037766542,-0.014768973441087185,-2.375706183552896,0.007416763668899762,1.1519353854074545,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,152,9,8,103,120,5,6,4,5
Turku Energia Oy,12,18,0.37453237501511527,0.3550000000000003,0.3546412973278917,-0.019532375015114956,-5.502077469046461,-0.01989107768722359,-5.608787763042961,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,158,9,8,109,126,5,7,4,6
Turku Energia Oy,24,18,0.158579404593109,0.142777777777778,0.14026357672757556,-0.01580162681533101,-11.067287263655944,-0.018315827865533457,-13.058149729852568,19,18,1,"{""no_exact_current"": 1}",2026-05-13,2026-09-13,122,10,9,74,91,4,6,3,5
Vaasan Sähkö Myynti Oy,6,18,1.3800693993308486,1.3888888888888882,1.4188157039351939,0.008819489558039573,0.6350032481788496,0.03874630460434525,2.730890593956594,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,158,12,11,109,126,9,10,8,9
Vaasan Sähkö Myynti Oy,12,6,0.2636184556187467,0.22000000000000064,0.2628633742372533,-0.043618455618746055,-19.826570735793602,-0.0007550813814933832,-0.2872524115177291,19,6,13,"{""no_exact_current"": 1, ""no_exact_target"": 13}",2026-04-08,2026-09-13,138,13,13,121,126,12,12,12,12
Vaasan Sähkö Myynti Oy,24,18,0.33145288855362826,0.3061111111111105,0.33010463118514877,-0.025341777442517754,-8.278620580132857,-0.0013482573684794885,-0.40843333934423937,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,158,13,13,109,126,11,12,11,12
Vattenfall Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 13}",2026-04-08,2026-08-31,111,7,6,,,,,,
Vattenfall Oy,12,11,0.4313915718508283,0.4490909090909099,0.4593115857934395,0.017699337240081547,3.941147968439204,0.027920013942611177,6.078665290878881,19,11,8,"{""no_exact_current"": 1, ""no_exact_target"": 7}",2026-04-08,2026-09-13,151,10,11,109,126,6,7,6,7
Vattenfall Oy,24,17,0.25169925793782494,0.25882352941176495,0.2563518109982194,0.007124271473940014,2.7525594331131846,0.004652553060394471,1.8149093787470014,19,17,2,"{""no_exact_current"": 1, ""no_exact_target"": 1}",2026-04-08,2026-09-13,157,13,12,109,126,9,10,8,9
Vihreä Älyenergia Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19, ""supplier_history_below_10"": 19}",,,0,0,0,,,,,,
Vihreä Älyenergia Oy,12,19,0.490021081335923,0.4342105263157895,0.4874286182660425,-0.05581055502013349,-12.853339944030743,-0.0025924630698804796,-0.5318651742490614,19,19,0,{},2026-04-08,2026-09-13,159,4,4,109,127,3,4,3,4
Vihreä Älyenergia Oy,24,19,0.48761489939914976,0.4342105263157895,0.45679802465099917,-0.05340437308336027,-12.299188952531455,-0.03081687474815059,-6.746280212506427,19,19,0,{},2026-04-08,2026-09-13,159,3,2,109,127,2,3,1,2
Väre Oy,6,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19}",2026-04-08,2026-04-22,15,3,2,,,,,,
Väre Oy,12,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19}",2026-04-08,2026-04-22,15,3,2,,,,,,
Väre Oy,24,0,,,,,,,,19,0,19,"{""no_exact_current"": 19, ""no_exact_target"": 19}",2026-04-08,2026-04-22,15,3,2,,,,,,
Äänekosken Energia Oy,6,3,1.771683536330847,1.700000000000001,1.7910550733932358,-0.0716835363308459,-4.216678607696815,0.01937153706238881,1.0815712676935472,19,3,16,"{""no_exact_current"": 1, ""no_exact_target"": 16}",2026-04-08,2026-08-28,142,8,7,109,111,6,6,5,5
Äänekosken Energia Oy,12,17,0.2931251283259341,0.2529411764705884,0.3111128141920967,-0.040183951855345734,-15.886678640485513,0.01798768586616256,5.781724521014445,19,17,2,"{""no_exact_current"": 1, ""no_exact_target"": 1}",2026-04-08,2026-09-13,157,7,6,109,126,5,6,4,5
Äänekosken Energia Oy,24,18,0.3043692515254573,0.2777777777777782,0.30057332065621,-0.026591473747679117,-9.572930549164468,-0.003795930869247288,-1.262896806995389,19,18,1,"{""no_exact_current"": 1}",2026-04-08,2026-09-13,158,5,4,109,126,3,5,2,4
