term,weighting,cells,n,supplier_mae,unchanged_mae,pooled_mae,improvement_vs_unchanged,improvement_pct_vs_unchanged,improvement_vs_pooled,improvement_pct_vs_pooled
all,pooled_forecast_pair,51,891,0.5292319350585082,0.496952861952862,0.5288351439649916,-0.032279073105646205,-6.4953993782830866,-0.0003967910935165353,-0.07503115064206142
all,equal_supplier_term_cell,51,891,0.5456305641686041,0.5132548827220791,0.5459286891581036,-0.03237568144652503,-6.3079149437056685,0.00029812498949943755,0.05460877865920308
6,pooled_forecast_pair,8,129,1.1626389302387272,1.139341085271318,1.1748059738482557,-0.023297844967409276,-2.0448525264812356,0.012167043609528472,1.03566409095397
6,equal_supplier_term_cell,8,129,1.2155667999423492,1.1876184640522878,1.2293841677598614,-0.027948335890061404,-2.353309310693818,0.013817367817512194,1.1239259606449703
12,pooled_forecast_pair,21,363,0.5230389165631056,0.4761157024793389,0.5196937441094008,-0.04692321408376676,-9.855422503273351,-0.0033451724537048033,-0.6436814934991041
12,equal_supplier_term_cell,21,363,0.5141885223633278,0.4687550129036198,0.5114496773369179,-0.04543350945970798,-9.692378365892699,-0.002738845026409864,-0.5355062575600468
24,pooled_forecast_pair,22,399,0.33008046472162306,0.3082205513784461,0.3283040439465415,-0.02185991334317694,-7.092295839915107,-0.0017764207750815553,-0.5410901290545218
24,equal_supplier_term_cell,22,399,0.3320302456104604,0.31050891070144165,0.3303112082231416,-0.021521334909018752,-6.930987861315129,-0.0017190373873188225,-0.5204296265228541
