basis,support,cohort,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,correct,wrong_way,missed_move,false_move,actual_up,actual_flat,actual_down,predicted_up,predicted_flat,predicted_down
observed_seller_data,native,intersection,lag_0,6,39,39,2026-05-19,2026-06-26,1.2087589743589742,1.3057605046043534,-1.2087589743589742,3,5,28,3,36,3,0,3,28,8
observed_seller_data,native,intersection,lag_0,12,39,39,2026-05-19,2026-06-26,0.2512384615384616,0.3215000661961091,-0.12486923076923098,14,0,25,0,15,14,10,0,39,0
observed_seller_data,native,intersection,lag_0,24,39,39,2026-05-19,2026-06-26,0.1994717948717948,0.2809752484764633,-0.17708205128205157,23,0,16,0,16,23,0,0,39,0
observed_seller_data,native,intersection,lag_0,all,117,39,2026-05-19,2026-06-26,0.5531564102564103,0.7931624209885237,-0.5035700854700856,40,5,69,3,67,40,10,3,106,8
observed_seller_data,native,intersection,unchanged,6,39,39,2026-05-19,2026-06-26,1.1407102564102563,1.2835555472282894,-1.1407102564102563,3,0,36,0,36,3,0,0,39,0
observed_seller_data,native,intersection,unchanged,12,39,39,2026-05-19,2026-06-26,0.2390974358974359,0.30843993555659077,-0.09463589743589751,14,0,25,0,15,14,10,0,39,0
observed_seller_data,native,intersection,unchanged,24,39,39,2026-05-19,2026-06-26,0.1907384615384615,0.2677435014414031,-0.16112820512820525,23,0,16,0,16,23,0,0,39,0
observed_seller_data,native,intersection,unchanged,all,117,39,2026-05-19,2026-06-26,0.5235153846153846,0.7776753005444644,-0.46549145299145306,40,0,77,0,67,40,10,0,117,0
observed_seller_data,native,intersection,always_up,6,39,39,2026-05-19,2026-06-26,,,,36,0,0,3,36,3,0,39,0,0
observed_seller_data,native,intersection,always_up,12,39,39,2026-05-19,2026-06-26,,,,15,10,0,14,15,14,10,39,0,0
observed_seller_data,native,intersection,always_up,24,39,39,2026-05-19,2026-06-26,,,,16,0,0,23,16,23,0,39,0,0
observed_seller_data,native,intersection,always_up,all,117,39,2026-05-19,2026-06-26,,,,67,10,0,40,67,40,10,117,0,0
observed_seller_data,native,intersection,always_down,6,39,39,2026-05-19,2026-06-26,,,,0,36,0,3,36,3,0,0,0,39
observed_seller_data,native,intersection,always_down,12,39,39,2026-05-19,2026-06-26,,,,10,15,0,14,15,14,10,0,0,39
observed_seller_data,native,intersection,always_down,24,39,39,2026-05-19,2026-06-26,,,,0,16,0,23,16,23,0,0,0,39
observed_seller_data,native,intersection,always_down,all,117,39,2026-05-19,2026-06-26,,,,10,67,0,40,67,40,10,0,0,117
observed_seller_data,native,intersection,lag_7,6,39,39,2026-05-19,2026-06-26,1.1827025641025641,1.2908109673121522,-1.1827025641025641,1,0,35,3,36,3,0,1,35,3
observed_seller_data,native,intersection,lag_7,12,39,39,2026-05-19,2026-06-26,0.23255128205128203,0.310732349582278,-0.10439230769230776,14,0,25,0,15,14,10,0,39,0
observed_seller_data,native,intersection,lag_7,24,39,39,2026-05-19,2026-06-26,0.19542564102564114,0.27693445674623707,-0.16531794871794903,23,0,16,0,16,23,0,0,39,0
